id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,143.06713073,-37.08104007,1,FALSE,1,1.1,143.196283099918_-37.1556062259249,143.19628309991813,-37.15560622592488,143.74932408_-37.54174961,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,52.7111,143.74932408,-37.54174961,1,12,65098.315899376204
1,143.1962831,-37.00647391,2,FALSE,1,1.1,143.196283099918_-37.1556062259249,143.19628309991813,-37.15560622592488,143.74932408_-37.54174961,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,52.7111,143.74932408,-37.54174961,1,12,65098.315899376204
1,143.32543547,-37.08104007,3,FALSE,1,1.1,143.196283099918_-37.1556062259249,143.19628309991813,-37.15560622592488,143.74932408_-37.54174961,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,52.7111,143.74932408,-37.54174961,1,12,65098.315899376204
1,143.32543547,-37.23017238,4,FALSE,1,1.1,143.196283099918_-37.1556062259249,143.19628309991813,-37.15560622592488,143.74932408_-37.54174961,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,52.7111,143.74932408,-37.54174961,1,12,65098.315899376204
1,143.1962831,-37.30473854,5,FALSE,1,1.1,143.196283099918_-37.1556062259249,143.19628309991813,-37.15560622592488,143.74932408_-37.54174961,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,52.7111,143.74932408,-37.54174961,1,12,65098.315899376204
1,143.06713073,-37.23017238,6,FALSE,1,1.1,143.196283099918_-37.1556062259249,143.19628309991813,-37.15560622592488,143.74932408_-37.54174961,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,52.7111,143.74932408,-37.54174961,1,12,65098.315899376204
1,143.06713073,-37.08104007,7,FALSE,1,1.1,143.196283099918_-37.1556062259249,143.19628309991813,-37.15560622592488,143.74932408_-37.54174961,201011001,21001,Alfredton,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,52.7111,143.74932408,-37.54174961,1,12,65098.315899376204
10,143.58374022,-37.08104007,8,FALSE,1,10.1,143.712892592538_-37.1556062259249,143.7128925925377,-37.15560622592488,143.83542782_-37.35417121,201021010,21010,Creswick - Clunes,20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,856.7892,143.83542782,-37.35417121,10,14,51470.09820481669
10,143.71289259,-37.00647391,9,FALSE,1,10.1,143.712892592538_-37.1556062259249,143.7128925925377,-37.15560622592488,143.83542782_-37.35417121,201021010,21010,Creswick - Clunes,20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,856.7892,143.83542782,-37.35417121,10,14,51470.09820481669
10,143.84204497,-37.08104007,10,FALSE,1,10.1,143.712892592538_-37.1556062259249,143.7128925925377,-37.15560622592488,143.83542782_-37.35417121,201021010,21010,Creswick - Clunes,20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,856.7892,143.83542782,-37.35417121,10,14,51470.09820481669
10,143.84204497,-37.23017238,11,FALSE,1,10.1,143.712892592538_-37.1556062259249,143.7128925925377,-37.15560622592488,143.83542782_-37.35417121,201021010,21010,Creswick - Clunes,20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,856.7892,143.83542782,-37.35417121,10,14,51470.09820481669
10,143.71289259,-37.30473854,12,FALSE,1,10.1,143.712892592538_-37.1556062259249,143.7128925925377,-37.15560622592488,143.83542782_-37.35417121,201021010,21010,Creswick - Clunes,20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,856.7892,143.83542782,-37.35417121,10,14,51470.09820481669
10,143.58374022,-37.23017238,13,FALSE,1,10.1,143.712892592538_-37.1556062259249,143.7128925925377,-37.15560622592488,143.83542782_-37.35417121,201021010,21010,Creswick - Clunes,20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,856.7892,143.83542782,-37.35417121,10,14,51470.09820481669
10,143.58374022,-37.08104007,14,FALSE,1,10.1,143.712892592538_-37.1556062259249,143.7128925925377,-37.15560622592488,143.83542782_-37.35417121,201021010,21010,Creswick - Clunes,20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,856.7892,143.83542782,-37.35417121,10,14,51470.09820481669
11,143.58374022,-37.52843701,15,FALSE,1,11.1,143.712892592538_-37.6030031703696,143.7128925925377,-37.60300317036962,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,4,20117.29341027302
11,143.71289259,-37.45387086,16,FALSE,1,11.1,143.712892592538_-37.6030031703696,143.7128925925377,-37.60300317036962,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,4,20117.29341027302
11,143.84204497,-37.52843701,17,FALSE,1,11.1,143.712892592538_-37.6030031703696,143.7128925925377,-37.60300317036962,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,4,20117.29341027302
11,143.84204497,-37.67756933,18,FALSE,1,11.1,143.712892592538_-37.6030031703696,143.7128925925377,-37.60300317036962,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,4,20117.29341027302
11,143.71289259,-37.75213549,19,FALSE,1,11.1,143.712892592538_-37.6030031703696,143.7128925925377,-37.60300317036962,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,4,20117.29341027302
11,143.58374022,-37.67756933,20,FALSE,1,11.1,143.712892592538_-37.6030031703696,143.7128925925377,-37.60300317036962,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,4,20117.29341027302
11,143.58374022,-37.52843701,21,FALSE,1,11.1,143.712892592538_-37.6030031703696,143.7128925925377,-37.60300317036962,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,4,20117.29341027302
12,143.71289259,-36.8573416,22,FALSE,1,12.1,143.842044965693_-36.9319077537025,143.84204496569254,-36.93190775370251,143.74405753_-37.04748082,201031016,21016,Maryborough (Vic.),20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,45.5379,143.74405753,-37.04748082,16,17,14273.19297787967
