id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,143.4778396,-36.00851409,1,FALSE,1,1.1,143.61285398942_-36.0864646867707,143.61285398942047,-36.08646468677073,143.85650381_-36.34010728,202031033,21033,Loddon,20203,Loddon - Elmore,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,6193.3066,143.85650381,-36.34010728,16,14,35666.81324090375
1,143.61285399,-35.9305635,2,FALSE,1,1.1,143.61285398942_-36.0864646867707,143.61285398942047,-36.08646468677073,143.85650381_-36.34010728,202031033,21033,Loddon,20203,Loddon - Elmore,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,6193.3066,143.85650381,-36.34010728,16,14,35666.81324090375
1,143.74786838,-36.00851409,3,FALSE,1,1.1,143.61285398942_-36.0864646867707,143.61285398942047,-36.08646468677073,143.85650381_-36.34010728,202031033,21033,Loddon,20203,Loddon - Elmore,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,6193.3066,143.85650381,-36.34010728,16,14,35666.81324090375
1,143.74786838,-36.16441528,4,FALSE,1,1.1,143.61285398942_-36.0864646867707,143.61285398942047,-36.08646468677073,143.85650381_-36.34010728,202031033,21033,Loddon,20203,Loddon - Elmore,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,6193.3066,143.85650381,-36.34010728,16,14,35666.81324090375
1,143.61285399,-36.24236587,5,FALSE,1,1.1,143.61285398942_-36.0864646867707,143.61285398942047,-36.08646468677073,143.85650381_-36.34010728,202031033,21033,Loddon,20203,Loddon - Elmore,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,6193.3066,143.85650381,-36.34010728,16,14,35666.81324090375
1,143.4778396,-36.16441528,6,FALSE,1,1.1,143.61285398942_-36.0864646867707,143.61285398942047,-36.08646468677073,143.85650381_-36.34010728,202031033,21033,Loddon,20203,Loddon - Elmore,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,6193.3066,143.85650381,-36.34010728,16,14,35666.81324090375
1,143.4778396,-36.00851409,7,FALSE,1,1.1,143.61285398942_-36.0864646867707,143.61285398942047,-36.08646468677073,143.85650381_-36.34010728,202031033,21033,Loddon,20203,Loddon - Elmore,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,6193.3066,143.85650381,-36.34010728,16,14,35666.81324090375
10,144.01789715,-36.47621765,8,FALSE,1,10.1,144.15291153952_-36.5541682446629,144.15291153952043,-36.55416824466291,144.2607337_-36.70673971,202011019,21019,California Gully - Eaglehawk,20201,Bendigo,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,33.0365,144.2607337,-36.70673971,2,10,66674.41792058732
10,144.15291154,-36.39826706,9,FALSE,1,10.1,144.15291153952_-36.5541682446629,144.15291153952043,-36.55416824466291,144.2607337_-36.70673971,202011019,21019,California Gully - Eaglehawk,20201,Bendigo,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,33.0365,144.2607337,-36.70673971,2,10,66674.41792058732
10,144.28792593,-36.47621765,10,FALSE,1,10.1,144.15291153952_-36.5541682446629,144.15291153952043,-36.55416824466291,144.2607337_-36.70673971,202011019,21019,California Gully - Eaglehawk,20201,Bendigo,202,Bendigo,2RVIC,Rest of Vic.,2,Victoria,33.0365,144.2607337,-36.70673971,2,10,66674.41792058732
