id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,143.70433706,-37.91751757,1,FALSE,1,1.1,143.78027720773_-37.9613616334889,143.78027720772988,-37.961361633488885,144.30195158_-38.1265127,203021040,21040,Geelong West - Hamlyn Heights,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,32.0374,144.30195158,-38.1265127,7,13,49326.76875390923
1,143.78027721,-37.87367351,2,FALSE,1,1.1,143.78027720773_-37.9613616334889,143.78027720772988,-37.961361633488885,144.30195158_-38.1265127,203021040,21040,Geelong West - Hamlyn Heights,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,32.0374,144.30195158,-38.1265127,7,13,49326.76875390923
1,143.85621735,-37.91751757,3,FALSE,1,1.1,143.78027720773_-37.9613616334889,143.78027720772988,-37.961361633488885,144.30195158_-38.1265127,203021040,21040,Geelong West - Hamlyn Heights,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,32.0374,144.30195158,-38.1265127,7,13,49326.76875390923
1,143.85621735,-38.0052057,4,FALSE,1,1.1,143.78027720773_-37.9613616334889,143.78027720772988,-37.961361633488885,144.30195158_-38.1265127,203021040,21040,Geelong West - Hamlyn Heights,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,32.0374,144.30195158,-38.1265127,7,13,49326.76875390923
1,143.78027721,-38.04904976,5,FALSE,1,1.1,143.78027720773_-37.9613616334889,143.78027720772988,-37.961361633488885,144.30195158_-38.1265127,203021040,21040,Geelong West - Hamlyn Heights,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,32.0374,144.30195158,-38.1265127,7,13,49326.76875390923
1,143.70433706,-38.0052057,6,FALSE,1,1.1,143.78027720773_-37.9613616334889,143.78027720772988,-37.961361633488885,144.30195158_-38.1265127,203021040,21040,Geelong West - Hamlyn Heights,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,32.0374,144.30195158,-38.1265127,7,13,49326.76875390923
1,143.70433706,-37.91751757,7,FALSE,1,1.1,143.78027720773_-37.9613616334889,143.78027720772988,-37.961361633488885,144.30195158_-38.1265127,203021040,21040,Geelong West - Hamlyn Heights,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,32.0374,144.30195158,-38.1265127,7,13,49326.76875390923
10,144.00809764,-37.91751757,8,FALSE,1,10.1,144.084037781278_-37.9613616334889,144.08403778127848,-37.961361633488885,144.41761471_-38.17983141,203021045,21045,Newcomb - Moolap,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,43.2941,144.41761471,-38.17983141,12,15,32395.95556484495
10,144.08403778,-37.87367351,9,FALSE,1,10.1,144.084037781278_-37.9613616334889,144.08403778127848,-37.961361633488885,144.41761471_-38.17983141,203021045,21045,Newcomb - Moolap,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,43.2941,144.41761471,-38.17983141,12,15,32395.95556484495
10,144.15997792,-37.91751757,10,FALSE,1,10.1,144.084037781278_-37.9613616334889,144.08403778127848,-37.961361633488885,144.41761471_-38.17983141,203021045,21045,Newcomb - Moolap,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,43.2941,144.41761471,-38.17983141,12,15,32395.95556484495
