id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,145.28694242,-38.40621749,1,FALSE,1,1.1,145.485564364813_-38.5208919207377,145.48556436481317,-38.520891920737725,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,1,21613.219530178514
1,145.48556436,-38.29154306,2,FALSE,1,1.1,145.485564364813_-38.5208919207377,145.48556436481317,-38.520891920737725,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,1,21613.219530178514
1,145.68418631,-38.40621749,3,FALSE,1,1.1,145.485564364813_-38.5208919207377,145.48556436481317,-38.520891920737725,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,1,21613.219530178514
1,145.68418631,-38.63556635,4,FALSE,1,1.1,145.485564364813_-38.5208919207377,145.48556436481317,-38.520891920737725,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,1,21613.219530178514
1,145.48556436,-38.75024078,5,FALSE,1,1.1,145.485564364813_-38.5208919207377,145.48556436481317,-38.520891920737725,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,1,21613.219530178514
1,145.28694242,-38.63556635,6,FALSE,1,1.1,145.485564364813_-38.5208919207377,145.48556436481317,-38.520891920737725,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,1,21613.219530178514
1,145.28694242,-38.40621749,7,FALSE,1,1.1,145.485564364813_-38.5208919207377,145.48556436481317,-38.520891920737725,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,1,21613.219530178514
10,146.47867408,-38.40621749,8,FALSE,1,10.1,146.677296017471_-38.5208919207377,146.67729601747095,-38.520891920737725,146.11208069_-38.67899361,205031087,21087,Foster,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,1498.8469,146.11208069,-38.67899361,12,4,102499.78269249357
10,146.67729602,-38.29154306,9,FALSE,1,10.1,146.677296017471_-38.5208919207377,146.67729601747095,-38.520891920737725,146.11208069_-38.67899361,205031087,21087,Foster,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,1498.8469,146.11208069,-38.67899361,12,4,102499.78269249357
10,146.87591796,-38.40621749,10,FALSE,1,10.1,146.677296017471_-38.5208919207377,146.67729601747095,-38.520891920737725,146.11208069_-38.67899361,205031087,21087,Foster,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,1498.8469,146.11208069,-38.67899361,12,4,102499.78269249357
10,146.87591796,-38.63556635,11,FALSE,1,10.1,146.677296017471_-38.5208919207377,146.67729601747095,-38.520891920737725,146.11208069_-38.67899361,205031087,21087,Foster,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,1498.8469,146.11208069,-38.67899361,12,4,102499.78269249357
10,146.67729602,-38.75024078,12,FALSE,1,10.1,146.677296017471_-38.5208919207377,146.67729601747095,-38.520891920737725,146.11208069_-38.67899361,205031087,21087,Foster,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,1498.8469,146.11208069,-38.67899361,12,4,102499.78269249357
10,146.47867408,-38.63556635,13,FALSE,1,10.1,146.677296017471_-38.5208919207377,146.67729601747095,-38.520891920737725,146.11208069_-38.67899361,205031087,21087,Foster,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,1498.8469,146.11208069,-38.67899361,12,4,102499.78269249357
10,146.47867408,-38.40621749,14,FALSE,1,10.1,146.677296017471_-38.5208919207377,146.67729601747095,-38.520891920737725,146.11208069_-38.67899361,205031087,21087,Foster,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,1498.8469,146.11208069,-38.67899361,12,4,102499.78269249357
11,146.67729602,-37.3741476,15,FALSE,1,11.1,146.875917959581_-37.4888220350421,146.8759179595806,-37.48882203504209,145.93970169_-38.21403573,205011079,21079,Warragul,20501,Baw Baw,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,352.1791,145.93970169,-38.21403573,4,15,123264.31869580499
11,146.87591796,-37.25947317,16,FALSE,1,11.1,146.875917959581_-37.4888220350421,146.8759179595806,-37.48882203504209,145.93970169_-38.21403573,205011079,21079,Warragul,20501,Baw Baw,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,352.1791,145.93970169,-38.21403573,4,15,123264.31869580499
11,147.0745399,-37.3741476,17,FALSE,1,11.1,146.875917959581_-37.4888220350421,146.8759179595806,-37.48882203504209,145.93970169_-38.21403573,205011079,21079,Warragul,20501,Baw Baw,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,352.1791,145.93970169,-38.21403573,4,15,123264.31869580499
11,147.0745399,-37.60349647,18,FALSE,1,11.1,146.875917959581_-37.4888220350421,146.8759179595806,-37.48882203504209,145.93970169_-38.21403573,205011079,21079,Warragul,20501,Baw Baw,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,352.1791,145.93970169,-38.21403573,4,15,123264.31869580499
