id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,144.98728388,-37.88045425,1,FALSE,1,1.1,145.000237208878_-37.8879328585349,145.00023720887793,-37.887932858534896,145.0071995_-37.88696241,208021179,21179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.8616,145.0071995,-37.88696241,11,24,621.8710647506005
1,145.00023721,-37.87297564,2,FALSE,1,1.1,145.000237208878_-37.8879328585349,145.00023720887793,-37.887932858534896,145.0071995_-37.88696241,208021179,21179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.8616,145.0071995,-37.88696241,11,24,621.8710647506005
1,145.01319054,-37.88045425,3,FALSE,1,1.1,145.000237208878_-37.8879328585349,145.00023720887793,-37.887932858534896,145.0071995_-37.88696241,208021179,21179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.8616,145.0071995,-37.88696241,11,24,621.8710647506005
1,145.01319054,-37.89541147,4,FALSE,1,1.1,145.000237208878_-37.8879328585349,145.00023720887793,-37.887932858534896,145.0071995_-37.88696241,208021179,21179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.8616,145.0071995,-37.88696241,11,24,621.8710647506005
1,145.00023721,-37.90289007,5,FALSE,1,1.1,145.000237208878_-37.8879328585349,145.00023720887793,-37.887932858534896,145.0071995_-37.88696241,208021179,21179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.8616,145.0071995,-37.88696241,11,24,621.8710647506005
1,144.98728388,-37.89541147,6,FALSE,1,1.1,145.000237208878_-37.8879328585349,145.00023720887793,-37.887932858534896,145.0071995_-37.88696241,208021179,21179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.8616,145.0071995,-37.88696241,11,24,621.8710647506005
1,144.98728388,-37.88045425,7,FALSE,1,1.1,145.000237208878_-37.8879328585349,145.00023720887793,-37.887932858534896,145.0071995_-37.88696241,208021179,21179,Elsternwick,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.8616,145.0071995,-37.88696241,11,24,621.8710647506005
10,145.02614387,-37.90289007,8,FALSE,1,10.1,145.039097196276_-37.9103686827201,145.03909719627632,-37.91036868272007,145.04142251_-37.90036721,208021182,21182,Ormond - Glen Huntly,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.9371,145.04142251,-37.90036721,14,22,2177.6042692599462
10,145.0390972,-37.89541147,9,FALSE,1,10.1,145.039097196276_-37.9103686827201,145.03909719627632,-37.91036868272007,145.04142251_-37.90036721,208021182,21182,Ormond - Glen Huntly,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.9371,145.04142251,-37.90036721,14,22,2177.6042692599462
10,145.05205053,-37.90289007,10,FALSE,1,10.1,145.039097196276_-37.9103686827201,145.03909719627632,-37.91036868272007,145.04142251_-37.90036721,208021182,21182,Ormond - Glen Huntly,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,2.9371,145.04142251,-37.90036721,14,22,2177.6042692599462
