id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,144.46048317,-37.43569905,1,FALSE,1,1.1,144.500018232164_-37.4585246247678,144.50001823216422,-37.45852462476778,144.55519984_-37.49548875,210021232,21232,Gisborne,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,211.0569,144.55519984,-37.49548875,7,16,6376.138549053027
1,144.50001823,-37.41287347,2,FALSE,1,1.1,144.500018232164_-37.4585246247678,144.50001823216422,-37.45852462476778,144.55519984_-37.49548875,210021232,21232,Gisborne,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,211.0569,144.55519984,-37.49548875,7,16,6376.138549053027
1,144.53955329,-37.43569905,3,FALSE,1,1.1,144.500018232164_-37.4585246247678,144.50001823216422,-37.45852462476778,144.55519984_-37.49548875,210021232,21232,Gisborne,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,211.0569,144.55519984,-37.49548875,7,16,6376.138549053027
1,144.53955329,-37.4813502,4,FALSE,1,1.1,144.500018232164_-37.4585246247678,144.50001823216422,-37.45852462476778,144.55519984_-37.49548875,210021232,21232,Gisborne,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,211.0569,144.55519984,-37.49548875,7,16,6376.138549053027
1,144.50001823,-37.50417578,5,FALSE,1,1.1,144.500018232164_-37.4585246247678,144.50001823216422,-37.45852462476778,144.55519984_-37.49548875,210021232,21232,Gisborne,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,211.0569,144.55519984,-37.49548875,7,16,6376.138549053027
1,144.46048317,-37.4813502,6,FALSE,1,1.1,144.500018232164_-37.4585246247678,144.50001823216422,-37.45852462476778,144.55519984_-37.49548875,210021232,21232,Gisborne,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,211.0569,144.55519984,-37.49548875,7,16,6376.138549053027
1,144.46048317,-37.43569905,7,FALSE,1,1.1,144.500018232164_-37.4585246247678,144.50001823216422,-37.45852462476778,144.55519984_-37.49548875,210021232,21232,Gisborne,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,211.0569,144.55519984,-37.49548875,7,16,6376.138549053027
10,144.65815848,-37.23026884,8,FALSE,1,10.1,144.697693538141_-37.2530944207558,144.69769353814095,-37.25309442075578,144.76350692_-37.350003,210021235,21235,Romsey,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,624.7096,144.76350692,-37.350003,10,30,19387.33906558868
10,144.69769354,-37.20744326,9,FALSE,1,10.1,144.697693538141_-37.2530944207558,144.69769353814095,-37.25309442075578,144.76350692_-37.350003,210021235,21235,Romsey,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,624.7096,144.76350692,-37.350003,10,30,19387.33906558868
10,144.7372286,-37.23026884,10,FALSE,1,10.1,144.697693538141_-37.2530944207558,144.69769353814095,-37.25309442075578,144.76350692_-37.350003,210021235,21235,Romsey,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,624.7096,144.76350692,-37.350003,10,30,19387.33906558868
10,144.7372286,-37.27592,11,FALSE,1,10.1,144.697693538141_-37.2530944207558,144.69769353814095,-37.25309442075578,144.76350692_-37.350003,210021235,21235,Romsey,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,624.7096,144.76350692,-37.350003,10,30,19387.33906558868
10,144.69769354,-37.29874558,12,FALSE,1,10.1,144.697693538141_-37.2530944207558,144.69769353814095,-37.25309442075578,144.76350692_-37.350003,210021235,21235,Romsey,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,624.7096,144.76350692,-37.350003,10,30,19387.33906558868
10,144.65815848,-37.27592,13,FALSE,1,10.1,144.697693538141_-37.2530944207558,144.69769353814095,-37.25309442075578,144.76350692_-37.350003,210021235,21235,Romsey,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,624.7096,144.76350692,-37.350003,10,30,19387.33906558868
10,144.65815848,-37.23026884,14,FALSE,1,10.1,144.697693538141_-37.2530944207558,144.69769353814095,-37.25309442075578,144.76350692_-37.350003,210021235,21235,Romsey,21002,Macedon Ranges,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,624.7096,144.76350692,-37.350003,10,30,19387.33906558868
11,144.65815848,-37.36722231,15,FALSE,1,11.1,144.697693538141_-37.3900478900971,144.69769353814095,-37.390047890097115,144.76757683_-37.53943898,210041240,21240,Sunbury,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,129.5488,144.76757683,-37.53943898,17,23,13108.446820980407
11,144.69769354,-37.34439673,16,FALSE,1,11.1,144.697693538141_-37.3900478900971,144.69769353814095,-37.390047890097115,144.76757683_-37.53943898,210041240,21240,Sunbury,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,129.5488,144.76757683,-37.53943898,17,23,13108.446820980407
11,144.7372286,-37.36722231,17,FALSE,1,11.1,144.697693538141_-37.3900478900971,144.69769353814095,-37.390047890097115,144.76757683_-37.53943898,210041240,21240,Sunbury,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,129.5488,144.76757683,-37.53943898,17,23,13108.446820980407
11,144.7372286,-37.41287347,18,FALSE,1,11.1,144.697693538141_-37.3900478900971,144.69769353814095,-37.390047890097115,144.76757683_-37.53943898,210041240,21240,Sunbury,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,129.5488,144.76757683,-37.53943898,17,23,13108.446820980407
11,144.69769354,-37.43569905,19,FALSE,1,11.1,144.697693538141_-37.3900478900971,144.69769353814095,-37.390047890097115,144.76757683_-37.53943898,210041240,21240,Sunbury,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,129.5488,144.76757683,-37.53943898,17,23,13108.446820980407
11,144.65815848,-37.41287347,20,FALSE,1,11.1,144.697693538141_-37.3900478900971,144.69769353814095,-37.390047890097115,144.76757683_-37.53943898,210041240,21240,Sunbury,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,129.5488,144.76757683,-37.53943898,17,23,13108.446820980407
11,144.65815848,-37.36722231,21,FALSE,1,11.1,144.697693538141_-37.3900478900971,144.69769353814095,-37.390047890097115,144.76757683_-37.53943898,210041240,21240,Sunbury,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,129.5488,144.76757683,-37.53943898,17,23,13108.446820980407
12,144.65815848,-37.50417578,22,FALSE,1,12.1,144.697693538141_-37.5270013594385,144.69769353814095,-37.52700135943845,144.90040898_-37.72690741,210011227,21227,Essendon Airport,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3.3549,144.90040898,-37.72690741,2,12,38006.01627035634
12,144.69769354,-37.4813502,23,FALSE,1,12.1,144.697693538141_-37.5270013594385,144.69769353814095,-37.52700135943845,144.90040898_-37.72690741,210011227,21227,Essendon Airport,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3.3549,144.90040898,-37.72690741,2,12,38006.01627035634
12,144.7372286,-37.50417578,24,FALSE,1,12.1,144.697693538141_-37.5270013594385,144.69769353814095,-37.52700135943845,144.90040898_-37.72690741,210011227,21227,Essendon Airport,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3.3549,144.90040898,-37.72690741,2,12,38006.01627035634
12,144.7372286,-37.54982694,25,FALSE,1,12.1,144.697693538141_-37.5270013594385,144.69769353814095,-37.52700135943845,144.90040898_-37.72690741,210011227,21227,Essendon Airport,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3.3549,144.90040898,-37.72690741,2,12,38006.01627035634
12,144.69769354,-37.57265252,26,FALSE,1,12.1,144.697693538141_-37.5270013594385,144.69769353814095,-37.52700135943845,144.90040898_-37.72690741,210011227,21227,Essendon Airport,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3.3549,144.90040898,-37.72690741,2,12,38006.01627035634
