id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,145.19623947,-37.79481506,1,FALSE,1,1.1,145.233254949964_-37.8161859568339,145.23325494996357,-37.816185956833856,145.17104797_-37.83986963,211041269,21269,Forest Hill,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.0702,145.17104797,-37.83986963,23,10,6074.900498741702
1,145.23325495,-37.77344417,2,FALSE,1,1.1,145.233254949964_-37.8161859568339,145.23325494996357,-37.816185956833856,145.17104797_-37.83986963,211041269,21269,Forest Hill,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.0702,145.17104797,-37.83986963,23,10,6074.900498741702
1,145.27027042,-37.79481506,3,FALSE,1,1.1,145.233254949964_-37.8161859568339,145.23325494996357,-37.816185956833856,145.17104797_-37.83986963,211041269,21269,Forest Hill,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.0702,145.17104797,-37.83986963,23,10,6074.900498741702
1,145.27027042,-37.83755685,4,FALSE,1,1.1,145.233254949964_-37.8161859568339,145.23325494996357,-37.816185956833856,145.17104797_-37.83986963,211041269,21269,Forest Hill,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.0702,145.17104797,-37.83986963,23,10,6074.900498741702
1,145.23325495,-37.85892775,5,FALSE,1,1.1,145.233254949964_-37.8161859568339,145.23325494996357,-37.816185956833856,145.17104797_-37.83986963,211041269,21269,Forest Hill,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.0702,145.17104797,-37.83986963,23,10,6074.900498741702
1,145.19623947,-37.83755685,6,FALSE,1,1.1,145.233254949964_-37.8161859568339,145.23325494996357,-37.816185956833856,145.17104797_-37.83986963,211041269,21269,Forest Hill,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.0702,145.17104797,-37.83986963,23,10,6074.900498741702
1,145.19623947,-37.79481506,7,FALSE,1,1.1,145.233254949964_-37.8161859568339,145.23325494996357,-37.816185956833856,145.17104797_-37.83986963,211041269,21269,Forest Hill,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.0702,145.17104797,-37.83986963,23,10,6074.900498741702
10,145.34430138,-37.79481506,8,FALSE,1,10.1,145.381316850068_-37.8161859568339,145.38131685006783,-37.816185956833856,145.22597514_-37.8523234,211011259,21259,Wantirna,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8.3064,145.22597514,-37.8523234,7,12,422.12738853859753
10,145.38131685,-37.77344417,9,FALSE,1,10.1,145.381316850068_-37.8161859568339,145.38131685006783,-37.816185956833856,145.22597514_-37.8523234,211011259,21259,Wantirna,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8.3064,145.22597514,-37.8523234,7,12,422.12738853859753
10,145.41833233,-37.79481506,10,FALSE,1,10.1,145.381316850068_-37.8161859568339,145.38131685006783,-37.816185956833856,145.22597514_-37.8523234,211011259,21259,Wantirna,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8.3064,145.22597514,-37.8523234,7,12,422.12738853859753
10,145.41833233,-37.83755685,11,FALSE,1,10.1,145.381316850068_-37.8161859568339,145.38131685006783,-37.816185956833856,145.22597514_-37.8523234,211011259,21259,Wantirna,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8.3064,145.22597514,-37.8523234,7,12,422.12738853859753
10,145.38131685,-37.85892775,12,FALSE,1,10.1,145.381316850068_-37.8161859568339,145.38131685006783,-37.816185956833856,145.22597514_-37.8523234,211011259,21259,Wantirna,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8.3064,145.22597514,-37.8523234,7,12,422.12738853859753
10,145.34430138,-37.83755685,13,FALSE,1,10.1,145.381316850068_-37.8161859568339,145.38131685006783,-37.816185956833856,145.22597514_-37.8523234,211011259,21259,Wantirna,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8.3064,145.22597514,-37.8523234,7,12,422.12738853859753
10,145.34430138,-37.79481506,14,FALSE,1,10.1,145.381316850068_-37.8161859568339,145.38131685006783,-37.816185956833856,145.22597514_-37.8523234,211011259,21259,Wantirna,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,8.3064,145.22597514,-37.8523234,7,12,422.12738853859753
11,145.34430138,-37.92304043,15,FALSE,1,11.1,145.381316850068_-37.9444113236567,145.38131685006783,-37.94441132365674,145.35514847_-37.93873062,211051274,21274,Belgrave - Selby,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,55.6519,145.35514847,-37.93873062,28,2,9974.627441177212
11,145.38131685,-37.90166953,16,FALSE,1,11.1,145.381316850068_-37.9444113236567,145.38131685006783,-37.94441132365674,145.35514847_-37.93873062,211051274,21274,Belgrave - Selby,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,55.6519,145.35514847,-37.93873062,28,2,9974.627441177212
11,145.41833233,-37.92304043,17,FALSE,1,11.1,145.381316850068_-37.9444113236567,145.38131685006783,-37.94441132365674,145.35514847_-37.93873062,211051274,21274,Belgrave - Selby,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,55.6519,145.35514847,-37.93873062,28,2,9974.627441177212
11,145.41833233,-37.96578222,18,FALSE,1,11.1,145.381316850068_-37.9444113236567,145.38131685006783,-37.94441132365674,145.35514847_-37.93873062,211051274,21274,Belgrave - Selby,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,55.6519,145.35514847,-37.93873062,28,2,9974.627441177212
11,145.38131685,-37.98715311,19,FALSE,1,11.1,145.381316850068_-37.9444113236567,145.38131685006783,-37.94441132365674,145.35514847_-37.93873062,211051274,21274,Belgrave - Selby,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,55.6519,145.35514847,-37.93873062,28,2,9974.627441177212
11,145.34430138,-37.96578222,20,FALSE,1,11.1,145.381316850068_-37.9444113236567,145.38131685006783,-37.94441132365674,145.35514847_-37.93873062,211051274,21274,Belgrave - Selby,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,55.6519,145.35514847,-37.93873062,28,2,9974.627441177212
11,145.34430138,-37.92304043,21,FALSE,1,11.1,145.381316850068_-37.9444113236567,145.38131685006783,-37.94441132365674,145.35514847_-37.93873062,211051274,21274,Belgrave - Selby,21105,Yarra Ranges,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,55.6519,145.35514847,-37.93873062,28,2,9974.627441177212
