id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,144.79989975,-38.40787704,1,FALSE,1,1.1,144.838875873394_-38.4303799144874,144.8388758733943,-38.43037991448738,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,1,6828.758253801529
1,144.83887587,-38.38537417,2,FALSE,1,1.1,144.838875873394_-38.4303799144874,144.8388758733943,-38.43037991448738,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,1,6828.758253801529
1,144.877852,-38.40787704,3,FALSE,1,1.1,144.838875873394_-38.4303799144874,144.8388758733943,-38.43037991448738,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,1,6828.758253801529
1,144.877852,-38.45288279,4,FALSE,1,1.1,144.838875873394_-38.4303799144874,144.8388758733943,-38.43037991448738,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,1,6828.758253801529
1,144.83887587,-38.47538566,5,FALSE,1,1.1,144.838875873394_-38.4303799144874,144.8388758733943,-38.43037991448738,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,1,6828.758253801529
1,144.79989975,-38.45288279,6,FALSE,1,1.1,144.838875873394_-38.4303799144874,144.8388758733943,-38.43037991448738,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,1,6828.758253801529
1,144.79989975,-38.40787704,7,FALSE,1,1.1,144.838875873394_-38.4303799144874,144.8388758733943,-38.43037991448738,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,1,6828.758253801529
10,145.0727326,-38.20535117,8,FALSE,1,10.1,145.111708724956_-38.2278540455396,145.11170872495566,-38.22785404553959,145.13964899_-38.15411131,214011371,21371,Frankston,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,11.6244,145.13964899,-38.15411131,2,13,12719.5171172403
10,145.11170872,-38.1828483,9,FALSE,1,10.1,145.111708724956_-38.2278540455396,145.11170872495566,-38.22785404553959,145.13964899_-38.15411131,214011371,21371,Frankston,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,11.6244,145.13964899,-38.15411131,2,13,12719.5171172403
10,145.15068485,-38.20535117,10,FALSE,1,10.1,145.111708724956_-38.2278540455396,145.11170872495566,-38.22785404553959,145.13964899_-38.15411131,214011371,21371,Frankston,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,11.6244,145.13964899,-38.15411131,2,13,12719.5171172403
