id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,144.39517279,-36.03442245,1,FALSE,1,1.1,144.535330783438_-36.1153427092177,144.53533078343807,-36.11534270921774,144.47040317_-36.174579,216011408,21408,Lockington - Gunbower,21601,Campaspe,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1646.3584,144.47040317,-36.174579,3,7,8794.790240542086
1,144.53533078,-35.9535022,2,FALSE,1,1.1,144.535330783438_-36.1153427092177,144.53533078343807,-36.11534270921774,144.47040317_-36.174579,216011408,21408,Lockington - Gunbower,21601,Campaspe,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1646.3584,144.47040317,-36.174579,3,7,8794.790240542086
1,144.67548878,-36.03442245,3,FALSE,1,1.1,144.535330783438_-36.1153427092177,144.53533078343807,-36.11534270921774,144.47040317_-36.174579,216011408,21408,Lockington - Gunbower,21601,Campaspe,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1646.3584,144.47040317,-36.174579,3,7,8794.790240542086
1,144.67548878,-36.19626297,4,FALSE,1,1.1,144.535330783438_-36.1153427092177,144.53533078343807,-36.11534270921774,144.47040317_-36.174579,216011408,21408,Lockington - Gunbower,21601,Campaspe,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1646.3584,144.47040317,-36.174579,3,7,8794.790240542086
1,144.53533078,-36.27718322,5,FALSE,1,1.1,144.535330783438_-36.1153427092177,144.53533078343807,-36.11534270921774,144.47040317_-36.174579,216011408,21408,Lockington - Gunbower,21601,Campaspe,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1646.3584,144.47040317,-36.174579,3,7,8794.790240542086
1,144.39517279,-36.19626297,6,FALSE,1,1.1,144.535330783438_-36.1153427092177,144.53533078343807,-36.11534270921774,144.47040317_-36.174579,216011408,21408,Lockington - Gunbower,21601,Campaspe,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1646.3584,144.47040317,-36.174579,3,7,8794.790240542086
1,144.39517279,-36.03442245,7,FALSE,1,1.1,144.535330783438_-36.1153427092177,144.53533078343807,-36.11534270921774,144.47040317_-36.174579,216011408,21408,Lockington - Gunbower,21601,Campaspe,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1646.3584,144.47040317,-36.174579,3,7,8794.790240542086
10,145.23612076,-36.03442245,8,FALSE,1,10.1,145.376278757576_-36.1153427092177,145.37627875757596,-36.11534270921774,145.40136704_-36.34283035,216031416,21416,Shepparton - North,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,65.6581,145.40136704,-36.34283035,11,10,11554.82895704893
10,145.37627876,-35.9535022,9,FALSE,1,10.1,145.376278757576_-36.1153427092177,145.37627875757596,-36.11534270921774,145.40136704_-36.34283035,216031416,21416,Shepparton - North,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,65.6581,145.40136704,-36.34283035,11,10,11554.82895704893
10,145.51643675,-36.03442245,10,FALSE,1,10.1,145.376278757576_-36.1153427092177,145.37627875757596,-36.11534270921774,145.40136704_-36.34283035,216031416,21416,Shepparton - North,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,65.6581,145.40136704,-36.34283035,11,10,11554.82895704893
10,145.51643675,-36.19626297,11,FALSE,1,10.1,145.376278757576_-36.1153427092177,145.37627875757596,-36.11534270921774,145.40136704_-36.34283035,216031416,21416,Shepparton - North,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,65.6581,145.40136704,-36.34283035,11,10,11554.82895704893
10,145.37627876,-36.27718322,12,FALSE,1,10.1,145.376278757576_-36.1153427092177,145.37627875757596,-36.11534270921774,145.40136704_-36.34283035,216031416,21416,Shepparton - North,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,65.6581,145.40136704,-36.34283035,11,10,11554.82895704893
10,145.23612076,-36.19626297,13,FALSE,1,10.1,145.376278757576_-36.1153427092177,145.37627875757596,-36.11534270921774,145.40136704_-36.34283035,216031416,21416,Shepparton - North,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,65.6581,145.40136704,-36.34283035,11,10,11554.82895704893
10,145.23612076,-36.03442245,14,FALSE,1,10.1,145.376278757576_-36.1153427092177,145.37627875757596,-36.11534270921774,145.40136704_-36.34283035,216031416,21416,Shepparton - North,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,65.6581,145.40136704,-36.34283035,11,10,11554.82895704893
11,145.37627876,-35.79166168,15,FALSE,1,11.1,145.516436753266_-35.8725819395963,145.5164367532656,-35.87258193959625,145.66836899_-35.94444875,216021411,21411,Cobram,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,131.5329,145.66836899,-35.94444875,6,14,46228.362804213895
11,145.51643675,-35.71074143,16,FALSE,1,11.1,145.516436753266_-35.8725819395963,145.5164367532656,-35.87258193959625,145.66836899_-35.94444875,216021411,21411,Cobram,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,131.5329,145.66836899,-35.94444875,6,14,46228.362804213895
11,145.65659475,-35.79166168,17,FALSE,1,11.1,145.516436753266_-35.8725819395963,145.5164367532656,-35.87258193959625,145.66836899_-35.94444875,216021411,21411,Cobram,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,131.5329,145.66836899,-35.94444875,6,14,46228.362804213895
11,145.65659475,-35.9535022,18,FALSE,1,11.1,145.516436753266_-35.8725819395963,145.5164367532656,-35.87258193959625,145.66836899_-35.94444875,216021411,21411,Cobram,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,131.5329,145.66836899,-35.94444875,6,14,46228.362804213895
11,145.51643675,-36.03442245,19,FALSE,1,11.1,145.516436753266_-35.8725819395963,145.5164367532656,-35.87258193959625,145.66836899_-35.94444875,216021411,21411,Cobram,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,131.5329,145.66836899,-35.94444875,6,14,46228.362804213895
11,145.37627876,-35.9535022,20,FALSE,1,11.1,145.516436753266_-35.8725819395963,145.5164367532656,-35.87258193959625,145.66836899_-35.94444875,216021411,21411,Cobram,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,131.5329,145.66836899,-35.94444875,6,14,46228.362804213895
11,145.37627876,-35.79166168,21,FALSE,1,11.1,145.516436753266_-35.8725819395963,145.5164367532656,-35.87258193959625,145.66836899_-35.94444875,216021411,21411,Cobram,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,131.5329,145.66836899,-35.94444875,6,14,46228.362804213895
12,145.37627876,-36.27718322,22,FALSE,1,12.1,145.516436753266_-36.3581034788392,145.5164367532656,-36.35810347883922,145.53991259_-36.37346508,216031418,21418,Shepparton Region - East,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1055.5778,145.53991259,-36.37346508,13,6,22331.902853622265
12,145.51643675,-36.19626297,23,FALSE,1,12.1,145.516436753266_-36.3581034788392,145.5164367532656,-36.35810347883922,145.53991259_-36.37346508,216031418,21418,Shepparton Region - East,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1055.5778,145.53991259,-36.37346508,13,6,22331.902853622265
12,145.65659475,-36.27718322,24,FALSE,1,12.1,145.516436753266_-36.3581034788392,145.5164367532656,-36.35810347883922,145.53991259_-36.37346508,216031418,21418,Shepparton Region - East,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1055.5778,145.53991259,-36.37346508,13,6,22331.902853622265
12,145.65659475,-36.43902374,25,FALSE,1,12.1,145.516436753266_-36.3581034788392,145.5164367532656,-36.35810347883922,145.53991259_-36.37346508,216031418,21418,Shepparton Region - East,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1055.5778,145.53991259,-36.37346508,13,6,22331.902853622265
12,145.51643675,-36.51994399,26,FALSE,1,12.1,145.516436753266_-36.3581034788392,145.5164367532656,-36.35810347883922,145.53991259_-36.37346508,216031418,21418,Shepparton Region - East,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1055.5778,145.53991259,-36.37346508,13,6,22331.902853622265
12,145.37627876,-36.43902374,27,FALSE,1,12.1,145.516436753266_-36.3581034788392,145.5164367532656,-36.35810347883922,145.53991259_-36.37346508,216031418,21418,Shepparton Region - East,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1055.5778,145.53991259,-36.37346508,13,6,22331.902853622265
12,145.37627876,-36.27718322,28,FALSE,1,12.1,145.516436753266_-36.3581034788392,145.5164367532656,-36.35810347883922,145.53991259_-36.37346508,216031418,21418,Shepparton Region - East,21603,Shepparton,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1055.5778,145.53991259,-36.37346508,13,6,22331.902853622265
13,145.51643675,-36.03442245,29,FALSE,1,13.1,145.656594748955_-36.1153427092177,145.65659474895526,-36.11534270921774,145.89598324_-36.14726468,216021412,21412,Moira,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1498.8166,145.89598324,-36.14726468,7,11,16799.1541245702
13,145.65659475,-35.9535022,30,FALSE,1,13.1,145.656594748955_-36.1153427092177,145.65659474895526,-36.11534270921774,145.89598324_-36.14726468,216021412,21412,Moira,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1498.8166,145.89598324,-36.14726468,7,11,16799.1541245702
13,145.79675274,-36.03442245,31,FALSE,1,13.1,145.656594748955_-36.1153427092177,145.65659474895526,-36.11534270921774,145.89598324_-36.14726468,216021412,21412,Moira,21602,Moira,216,Shepparton,2RVIC,Rest of Vic.,2,Victoria,1498.8166,145.89598324,-36.14726468,7,11,16799.1541245702
