id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,141.18915415,-37.73781732,1,FALSE,1,1.1,141.412311156725_-37.8666570815015,141.412311156725,-37.8666570815015,141.38286947_-37.8663198,217011420,21420,Glenelg (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,6121.2107,141.38286947,-37.8663198,1,8,2590.9863821857243
1,141.41231116,-37.60897756,2,FALSE,1,1.1,141.412311156725_-37.8666570815015,141.412311156725,-37.8666570815015,141.38286947_-37.8663198,217011420,21420,Glenelg (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,6121.2107,141.38286947,-37.8663198,1,8,2590.9863821857243
1,141.63546817,-37.73781732,3,FALSE,1,1.1,141.412311156725_-37.8666570815015,141.412311156725,-37.8666570815015,141.38286947_-37.8663198,217011420,21420,Glenelg (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,6121.2107,141.38286947,-37.8663198,1,8,2590.9863821857243
1,141.63546817,-37.99549684,4,FALSE,1,1.1,141.412311156725_-37.8666570815015,141.412311156725,-37.8666570815015,141.38286947_-37.8663198,217011420,21420,Glenelg (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,6121.2107,141.38286947,-37.8663198,1,8,2590.9863821857243
1,141.41231116,-38.1243366,5,FALSE,1,1.1,141.412311156725_-37.8666570815015,141.412311156725,-37.8666570815015,141.38286947_-37.8663198,217011420,21420,Glenelg (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,6121.2107,141.38286947,-37.8663198,1,8,2590.9863821857243
1,141.18915415,-37.99549684,6,FALSE,1,1.1,141.412311156725_-37.8666570815015,141.412311156725,-37.8666570815015,141.38286947_-37.8663198,217011420,21420,Glenelg (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,6121.2107,141.38286947,-37.8663198,1,8,2590.9863821857243
1,141.18915415,-37.73781732,7,FALSE,1,1.1,141.412311156725_-37.8666570815015,141.412311156725,-37.8666570815015,141.38286947_-37.8663198,217011420,21420,Glenelg (Vic.),21701,Glenelg - Southern Grampians,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,6121.2107,141.38286947,-37.8663198,1,8,2590.9863821857243
10,142.75125322,-38.1243366,8,FALSE,1,10.1,142.974410225037_-38.2531763604689,142.97441022503662,-38.253176360468885,143.10648551_-38.46333703,217031475,21475,Corangamite - South,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,1805.2082,143.10648551,-38.46333703,9,6,7820.701025847574
10,142.97441023,-37.99549684,9,FALSE,1,10.1,142.974410225037_-38.2531763604689,142.97441022503662,-38.253176360468885,143.10648551_-38.46333703,217031475,21475,Corangamite - South,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,1805.2082,143.10648551,-38.46333703,9,6,7820.701025847574
10,143.19756723,-38.1243366,10,FALSE,1,10.1,142.974410225037_-38.2531763604689,142.97441022503662,-38.253176360468885,143.10648551_-38.46333703,217031475,21475,Corangamite - South,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,1805.2082,143.10648551,-38.46333703,9,6,7820.701025847574
10,143.19756723,-38.38201612,11,FALSE,1,10.1,142.974410225037_-38.2531763604689,142.97441022503662,-38.253176360468885,143.10648551_-38.46333703,217031475,21475,Corangamite - South,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,1805.2082,143.10648551,-38.46333703,9,6,7820.701025847574
10,142.97441023,-38.51085588,12,FALSE,1,10.1,142.974410225037_-38.2531763604689,142.97441022503662,-38.253176360468885,143.10648551_-38.46333703,217031475,21475,Corangamite - South,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,1805.2082,143.10648551,-38.46333703,9,6,7820.701025847574
10,142.75125322,-38.38201612,13,FALSE,1,10.1,142.974410225037_-38.2531763604689,142.97441022503662,-38.253176360468885,143.10648551_-38.46333703,217031475,21475,Corangamite - South,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,1805.2082,143.10648551,-38.46333703,9,6,7820.701025847574
10,142.75125322,-38.1243366,14,FALSE,1,10.1,142.974410225037_-38.2531763604689,142.97441022503662,-38.253176360468885,143.10648551_-38.46333703,217031475,21475,Corangamite - South,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,1805.2082,143.10648551,-38.46333703,9,6,7820.701025847574
11,142.97441023,-37.73781732,15,FALSE,1,11.1,143.197567234795_-37.8666570815015,143.19756723479546,-37.8666570815015,143.26048318_-38.0220624,217031474,21474,Corangamite - North,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,2538.3286,143.26048318,-38.0220624,8,12,37610.25449301718
11,143.19756723,-37.60897756,16,FALSE,1,11.1,143.197567234795_-37.8666570815015,143.19756723479546,-37.8666570815015,143.26048318_-38.0220624,217031474,21474,Corangamite - North,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,2538.3286,143.26048318,-38.0220624,8,12,37610.25449301718
11,143.42072424,-37.73781732,17,FALSE,1,11.1,143.197567234795_-37.8666570815015,143.19756723479546,-37.8666570815015,143.26048318_-38.0220624,217031474,21474,Corangamite - North,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,2538.3286,143.26048318,-38.0220624,8,12,37610.25449301718
11,143.42072424,-37.99549684,18,FALSE,1,11.1,143.197567234795_-37.8666570815015,143.19756723479546,-37.8666570815015,143.26048318_-38.0220624,217031474,21474,Corangamite - North,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,2538.3286,143.26048318,-38.0220624,8,12,37610.25449301718
11,143.19756723,-38.1243366,19,FALSE,1,11.1,143.197567234795_-37.8666570815015,143.19756723479546,-37.8666570815015,143.26048318_-38.0220624,217031474,21474,Corangamite - North,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,2538.3286,143.26048318,-38.0220624,8,12,37610.25449301718
11,142.97441023,-37.99549684,20,FALSE,1,11.1,143.197567234795_-37.8666570815015,143.19756723479546,-37.8666570815015,143.26048318_-38.0220624,217031474,21474,Corangamite - North,21703,Colac - Corangamite,217,Warrnambool and South West,2RVIC,Rest of Vic.,2,Victoria,2538.3286,143.26048318,-38.0220624,8,12,37610.25449301718
