id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col
1,144.68448239,-36.97454644,1,FALSE,1,1.1,144.893603791665_-37.0952827388824,144.89360379166482,-37.09528273888242,144.95835673_-37.04591945,204011060,21060,Seymour Region,20401,Upper Goulburn Valley,204,Hume,2RVIC,Rest of Vic.,2,Victoria,1688.8307,144.95835673,-37.04591945,7,4
1,144.89360379,-36.85381014,2,FALSE,1,1.1,144.893603791665_-37.0952827388824,144.89360379166482,-37.09528273888242,144.95835673_-37.04591945,204011060,21060,Seymour Region,20401,Upper Goulburn Valley,204,Hume,2RVIC,Rest of Vic.,2,Victoria,1688.8307,144.95835673,-37.04591945,7,4
1,145.1027252,-36.97454644,3,FALSE,1,1.1,144.893603791665_-37.0952827388824,144.89360379166482,-37.09528273888242,144.95835673_-37.04591945,204011060,21060,Seymour Region,20401,Upper Goulburn Valley,204,Hume,2RVIC,Rest of Vic.,2,Victoria,1688.8307,144.95835673,-37.04591945,7,4
1,145.1027252,-37.21601904,4,FALSE,1,1.1,144.893603791665_-37.0952827388824,144.89360379166482,-37.09528273888242,144.95835673_-37.04591945,204011060,21060,Seymour Region,20401,Upper Goulburn Valley,204,Hume,2RVIC,Rest of Vic.,2,Victoria,1688.8307,144.95835673,-37.04591945,7,4
1,144.89360379,-37.33675534,5,FALSE,1,1.1,144.893603791665_-37.0952827388824,144.89360379166482,-37.09528273888242,144.95835673_-37.04591945,204011060,21060,Seymour Region,20401,Upper Goulburn Valley,204,Hume,2RVIC,Rest of Vic.,2,Victoria,1688.8307,144.95835673,-37.04591945,7,4
1,144.68448239,-37.21601904,6,FALSE,1,1.1,144.893603791665_-37.0952827388824,144.89360379166482,-37.09528273888242,144.95835673_-37.04591945,204011060,21060,Seymour Region,20401,Upper Goulburn Valley,204,Hume,2RVIC,Rest of Vic.,2,Victoria,1688.8307,144.95835673,-37.04591945,7,4
1,144.68448239,-36.97454644,7,FALSE,1,1.1,144.893603791665_-37.0952827388824,144.89360379166482,-37.09528273888242,144.95835673_-37.04591945,204011060,21060,Seymour Region,20401,Upper Goulburn Valley,204,Hume,2RVIC,Rest of Vic.,2,Victoria,1688.8307,144.95835673,-37.04591945,7,4
10,145.93921082,-36.25012864,8,FALSE,1,10.1,146.148332225027_-36.3708649401208,146.1483322250272,-36.370864940120796,146.42634443_-36.06601981,204021065,21065,Rutherglen,20402,Wangaratta - Benalla,204,Hume,2RVIC,Rest of Vic.,2,Victoria,479.3481,146.42634443,-36.06601981,12,17
10,146.14833223,-36.12939234,9,FALSE,1,10.1,146.148332225027_-36.3708649401208,146.1483322250272,-36.370864940120796,146.42634443_-36.06601981,204021065,21065,Rutherglen,20402,Wangaratta - Benalla,204,Hume,2RVIC,Rest of Vic.,2,Victoria,479.3481,146.42634443,-36.06601981,12,17
10,146.35745363,-36.25012864,10,FALSE,1,10.1,146.148332225027_-36.3708649401208,146.1483322250272,-36.370864940120796,146.42634443_-36.06601981,204021065,21065,Rutherglen,20402,Wangaratta - Benalla,204,Hume,2RVIC,Rest of Vic.,2,Victoria,479.3481,146.42634443,-36.06601981,12,17
