id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col
1,145.20872387,-37.80622398,1,FALSE,1,1.1,145.243946351394_-37.8265596877933,145.24394635139376,-37.82655968779331,145.19929118_-37.83843232,211041272,21272,Vermont,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.6098,145.19929118,-37.83843232,26,7
1,145.24394635,-37.78588828,2,FALSE,1,1.1,145.243946351394_-37.8265596877933,145.24394635139376,-37.82655968779331,145.19929118_-37.83843232,211041272,21272,Vermont,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.6098,145.19929118,-37.83843232,26,7
1,145.27916883,-37.80622398,3,FALSE,1,1.1,145.243946351394_-37.8265596877933,145.24394635139376,-37.82655968779331,145.19929118_-37.83843232,211041272,21272,Vermont,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.6098,145.19929118,-37.83843232,26,7
1,145.27916883,-37.84689539,4,FALSE,1,1.1,145.243946351394_-37.8265596877933,145.24394635139376,-37.82655968779331,145.19929118_-37.83843232,211041272,21272,Vermont,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.6098,145.19929118,-37.83843232,26,7
1,145.24394635,-37.8672311,5,FALSE,1,1.1,145.243946351394_-37.8265596877933,145.24394635139376,-37.82655968779331,145.19929118_-37.83843232,211041272,21272,Vermont,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.6098,145.19929118,-37.83843232,26,7
1,145.20872387,-37.84689539,6,FALSE,1,1.1,145.243946351394_-37.8265596877933,145.24394635139376,-37.82655968779331,145.19929118_-37.83843232,211041272,21272,Vermont,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.6098,145.19929118,-37.83843232,26,7
1,145.20872387,-37.80622398,7,FALSE,1,1.1,145.243946351394_-37.8265596877933,145.24394635139376,-37.82655968779331,145.19929118_-37.83843232,211041272,21272,Vermont,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,4.6098,145.19929118,-37.83843232,26,7
10,145.34961378,-37.80622398,8,FALSE,1,10.1,145.384836257975_-37.8265596877933,145.38483625797545,-37.82655968779331,145.28596459_-37.85629093,211011446,21446,Boronia,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,11.2631,145.28596459,-37.85629093,9,9
10,145.38483626,-37.78588828,9,FALSE,1,10.1,145.384836257975_-37.8265596877933,145.38483625797545,-37.82655968779331,145.28596459_-37.85629093,211011446,21446,Boronia,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,11.2631,145.28596459,-37.85629093,9,9
10,145.42005873,-37.80622398,10,FALSE,1,10.1,145.384836257975_-37.8265596877933,145.38483625797545,-37.82655968779331,145.28596459_-37.85629093,211011446,21446,Boronia,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,11.2631,145.28596459,-37.85629093,9,9
10,145.42005873,-37.84689539,11,FALSE,1,10.1,145.384836257975_-37.8265596877933,145.38483625797545,-37.82655968779331,145.28596459_-37.85629093,211011446,21446,Boronia,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,11.2631,145.28596459,-37.85629093,9,9
10,145.38483626,-37.8672311,12,FALSE,1,10.1,145.384836257975_-37.8265596877933,145.38483625797545,-37.82655968779331,145.28596459_-37.85629093,211011446,21446,Boronia,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,11.2631,145.28596459,-37.85629093,9,9
10,145.34961378,-37.84689539,13,FALSE,1,10.1,145.384836257975_-37.8265596877933,145.38483625797545,-37.82655968779331,145.28596459_-37.85629093,211011446,21446,Boronia,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,11.2631,145.28596459,-37.85629093,9,9
10,145.34961378,-37.80622398,14,FALSE,1,10.1,145.384836257975_-37.8265596877933,145.38483625797545,-37.82655968779331,145.28596459_-37.85629093,211011446,21446,Boronia,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,11.2631,145.28596459,-37.85629093,9,9
11,145.38483626,-37.62320262,15,FALSE,1,11.1,145.420058734621_-37.6435383304384,145.42005873462088,-37.64353833043844,145.17653069_-37.81736214,211041271,21271,Nunawading,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,5.0785,145.17653069,-37.81736214,25,30
11,145.42005873,-37.60286692,16,FALSE,1,11.1,145.420058734621_-37.6435383304384,145.42005873462088,-37.64353833043844,145.17653069_-37.81736214,211041271,21271,Nunawading,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,5.0785,145.17653069,-37.81736214,25,30
11,145.45528121,-37.62320262,17,FALSE,1,11.1,145.420058734621_-37.6435383304384,145.42005873462088,-37.64353833043844,145.17653069_-37.81736214,211041271,21271,Nunawading,21104,Whitehorse - East,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,5.0785,145.17653069,-37.81736214,25,30
