id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col
1,144.37656191,-37.6737873,1,FALSE,1,1.1,144.405587214451_-37.6905450725436,144.40558721445146,-37.69054507254359,144.75302684_-37.74921289,213041461,21461,Burnside,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,2.552,144.75302684,-37.74921289,33,33
1,144.40558721,-37.65702953,2,FALSE,1,1.1,144.405587214451_-37.6905450725436,144.40558721445146,-37.69054507254359,144.75302684_-37.74921289,213041461,21461,Burnside,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,2.552,144.75302684,-37.74921289,33,33
1,144.43461252,-37.6737873,3,FALSE,1,1.1,144.405587214451_-37.6905450725436,144.40558721445146,-37.69054507254359,144.75302684_-37.74921289,213041461,21461,Burnside,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,2.552,144.75302684,-37.74921289,33,33
1,144.43461252,-37.70730284,4,FALSE,1,1.1,144.405587214451_-37.6905450725436,144.40558721445146,-37.69054507254359,144.75302684_-37.74921289,213041461,21461,Burnside,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,2.552,144.75302684,-37.74921289,33,33
1,144.40558721,-37.72406061,5,FALSE,1,1.1,144.405587214451_-37.6905450725436,144.40558721445146,-37.69054507254359,144.75302684_-37.74921289,213041461,21461,Burnside,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,2.552,144.75302684,-37.74921289,33,33
1,144.37656191,-37.70730284,6,FALSE,1,1.1,144.405587214451_-37.6905450725436,144.40558721445146,-37.69054507254359,144.75302684_-37.74921289,213041461,21461,Burnside,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,2.552,144.75302684,-37.74921289,33,33
1,144.37656191,-37.6737873,7,FALSE,1,1.1,144.405587214451_-37.6905450725436,144.40558721445146,-37.69054507254359,144.75302684_-37.74921289,213041461,21461,Burnside,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,2.552,144.75302684,-37.74921289,33,33
10,144.49266314,-37.6737873,8,FALSE,1,10.1,144.52168844878_-37.6905450725436,144.52168844877988,-37.69054507254359,144.77050669_-37.73903042,213011333,21333,Kings Park (Vic.),21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4323,144.77050669,-37.73903042,6,35
10,144.52168845,-37.65702953,9,FALSE,1,10.1,144.52168844878_-37.6905450725436,144.52168844877988,-37.69054507254359,144.77050669_-37.73903042,213011333,21333,Kings Park (Vic.),21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4323,144.77050669,-37.73903042,6,35
10,144.55071376,-37.6737873,10,FALSE,1,10.1,144.52168844878_-37.6905450725436,144.52168844877988,-37.69054507254359,144.77050669_-37.73903042,213011333,21333,Kings Park (Vic.),21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4323,144.77050669,-37.73903042,6,35
10,144.55071376,-37.70730284,11,FALSE,1,10.1,144.52168844878_-37.6905450725436,144.52168844877988,-37.69054507254359,144.77050669_-37.73903042,213011333,21333,Kings Park (Vic.),21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4323,144.77050669,-37.73903042,6,35
10,144.52168845,-37.72406061,12,FALSE,1,10.1,144.52168844878_-37.6905450725436,144.52168844877988,-37.69054507254359,144.77050669_-37.73903042,213011333,21333,Kings Park (Vic.),21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4323,144.77050669,-37.73903042,6,35
10,144.49266314,-37.70730284,13,FALSE,1,10.1,144.52168844878_-37.6905450725436,144.52168844877988,-37.69054507254359,144.77050669_-37.73903042,213011333,21333,Kings Park (Vic.),21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4323,144.77050669,-37.73903042,6,35
10,144.49266314,-37.6737873,14,FALSE,1,10.1,144.52168844878_-37.6905450725436,144.52168844877988,-37.69054507254359,144.77050669_-37.73903042,213011333,21333,Kings Park (Vic.),21301,Brimbank,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,4.4323,144.77050669,-37.73903042,6,35
11,144.49266314,-37.77433392,15,FALSE,1,11.1,144.52168844878_-37.7910916908827,144.52168844877988,-37.79109169088274,144.8863417_-37.8076672,213031350,21350,Seddon - Kingsville,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,1.6803,144.8863417,-37.8076672,23,20
11,144.52168845,-37.75757615,16,FALSE,1,11.1,144.52168844878_-37.7910916908827,144.52168844877988,-37.79109169088274,144.8863417_-37.8076672,213031350,21350,Seddon - Kingsville,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,1.6803,144.8863417,-37.8076672,23,20
11,144.55071376,-37.77433392,17,FALSE,1,11.1,144.52168844878_-37.7910916908827,144.52168844877988,-37.79109169088274,144.8863417_-37.8076672,213031350,21350,Seddon - Kingsville,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,1.6803,144.8863417,-37.8076672,23,20
11,144.55071376,-37.80784946,18,FALSE,1,11.1,144.52168844878_-37.7910916908827,144.52168844877988,-37.79109169088274,144.8863417_-37.8076672,213031350,21350,Seddon - Kingsville,21303,Maribyrnong,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,1.6803,144.8863417,-37.8076672,23,20
