State,SA4 code,SA4 name,SA2 code,SA2 name,Total Persons
New South Wales,101,Capital Region,11001,Goulburn,23320
New South Wales,101,Capital Region,11002,Goulburn Region,12862
New South Wales,101,Capital Region,11003,Yass,6656
New South Wales,101,Capital Region,11004,Yass Region,11913
New South Wales,101,Capital Region,11005,Young,10802
New South Wales,101,Capital Region,11006,Young Region,7450
New South Wales,101,Capital Region,11007,Braidwood,3945
New South Wales,101,Capital Region,11008,Karabar,8615
New South Wales,101,Capital Region,11009,Queanbeyan,11235
New South Wales,101,Capital Region,11010,Queanbeyan - East,5049
New South Wales,101,Capital Region,11011,Queanbeyan Region,17435
New South Wales,101,Capital Region,11012,Queanbeyan West - Jerrabomberra,13193
New South Wales,101,Capital Region,11013,Bombala,2425
New South Wales,101,Capital Region,11014,Cooma,6890
New South Wales,101,Capital Region,11015,Cooma Region,3334
New South Wales,101,Capital Region,11016,Jindabyne - Berridale,7091
New South Wales,101,Capital Region,11017,Batemans Bay,7842
New South Wales,101,Capital Region,11018,Batemans Bay - South,8570
New South Wales,101,Capital Region,11019,Bega - Tathra,8607
New South Wales,101,Capital Region,11020,Bega-Eden Hinterland,8961
New South Wales,101,Capital Region,11021,Broulee - Tomakin,3317
New South Wales,101,Capital Region,11022,Deua - Wadbilliga,27
New South Wales,101,Capital Region,11023,Eden,3281
New South Wales,101,Capital Region,11024,Eurobodalla Hinterland,3366
New South Wales,101,Capital Region,11025,Merimbula - Tura Beach,10835
New South Wales,101,Capital Region,11026,Moruya - Tuross Head,8096
New South Wales,101,Capital Region,11027,Narooma - Bermagui,9171
New South Wales,102,Central Coast,11028,Avoca Beach - Copacabana,7546
New South Wales,102,Central Coast,11029,Box Head - MacMasters Beach,10956
New South Wales,102,Central Coast,11030,Calga - Kulnura,4811
New South Wales,102,Central Coast,11031,Erina - Green Point,14240
New South Wales,102,Central Coast,11032,Gosford - Springfield,19284
New South Wales,102,Central Coast,11033,Kariong,6559
New South Wales,102,Central Coast,11034,Kincumber - Picketts Valley,7429
New South Wales,102,Central Coast,11035,Narara,6829
New South Wales,102,Central Coast,11036,Niagara Park - Lisarow,8202
New South Wales,102,Central Coast,11037,Point Clare - Koolewong,6329
New South Wales,102,Central Coast,11038,Saratoga - Davistown,7142
New South Wales,102,Central Coast,11039,Terrigal - North Avoca,13909
New South Wales,102,Central Coast,11040,Umina - Booker Bay - Patonga,24037
New South Wales,102,Central Coast,11041,Wamberal - Forresters Beach,10146
New South Wales,102,Central Coast,11042,Woy Woy - Blackwall,14181
New South Wales,102,Central Coast,11043,Wyoming,11657
New South Wales,102,Central Coast,11044,Bateau Bay - Killarney Vale,22412
New South Wales,102,Central Coast,11045,Blue Haven - San Remo,11305
New South Wales,102,Central Coast,11046,Budgewoi - Buff Point - Halekulani,9570
New South Wales,102,Central Coast,11047,Chittaway Bay - Tumbi Umbi,15856
New South Wales,102,Central Coast,11048,Gorokan - Kanwal - Charmhaven,22489
New South Wales,102,Central Coast,11049,Jilliby - Yarramalong,3474
New South Wales,102,Central Coast,11050,Lake Munmorah - Mannering Park,10984
New South Wales,102,Central Coast,11051,Ourimbah - Fountaindale,4994
New South Wales,102,Central Coast,11052,Summerland Point - Gwandalan,5844
New South Wales,102,Central Coast,11053,The Entrance,15237
New South Wales,102,Central Coast,11054,Toukley - Norah Head,9966
New South Wales,102,Central Coast,11055,Tuggerah - Kangy Angy,5327
New South Wales,102,Central Coast,11056,Warnervale - Wadalba,15573
New South Wales,102,Central Coast,11057,Wyong,9021
New South Wales,103,Central West,11058,Bathurst,24541
New South Wales,103,Central West,11059,Bathurst - East,11472
New South Wales,103,Central West,11060,Bathurst Region,7017
New South Wales,103,Central West,11061,Oberon,4753
New South Wales,103,Central West,11062,Condobolin,6803
New South Wales,103,Central West,11063,Cowra,9300
New South Wales,103,Central West,11064,Cowra Region,5542
New South Wales,103,Central West,11065,Forbes,10394
New South Wales,103,Central West,11066,Grenfell,3680
New South Wales,103,Central West,11067,Parkes (NSW),11258
New South Wales,103,Central West,11068,Parkes Region,3435
New South Wales,103,Central West,11069,West Wyalong,6004
New South Wales,103,Central West,11070,Lithgow,13095
New South Wales,103,Central West,11071,Lithgow Region,8420
New South Wales,103,Central West,11072,Mudgee,12010
New South Wales,103,Central West,11073,Mudgee Region - East,3503
New South Wales,103,Central West,11074,Mudgee Region - West,10544
New South Wales,103,Central West,11075,Wollangambe - Wollemi,0
New South Wales,103,Central West,11076,Blayney,7430
New South Wales,103,Central West,11077,Orange,19457
New South Wales,103,Central West,11078,Orange - North,20298
New South Wales,103,Central West,11079,Orange Region,11806
New South Wales,104,Coffs Harbour - Grafton,11080,Grafton,19075
New South Wales,104,Coffs Harbour - Grafton,11081,Grafton Region,15446
New South Wales,104,Coffs Harbour - Grafton,11082,Maclean - Yamba - Iluka,16440
New South Wales,104,Coffs Harbour - Grafton,11083,Bellingen,5936
New South Wales,104,Coffs Harbour - Grafton,11084,Coffs Harbour - North,17902
New South Wales,104,Coffs Harbour - Grafton,11085,Coffs Harbour - South,10535
New South Wales,104,Coffs Harbour - Grafton,11086,Coramba - Nana Glen - Bucca,3862
New South Wales,104,Coffs Harbour - Grafton,11087,Dorrigo,3253
New South Wales,104,Coffs Harbour - Grafton,11088,Korora - Emerald Beach,9010
New South Wales,104,Coffs Harbour - Grafton,11089,Sawtell - Boambee,19947
New South Wales,104,Coffs Harbour - Grafton,11090,Urunga,4758
New South Wales,104,Coffs Harbour - Grafton,11091,Woolgoolga - Arrawarra,12740
New South Wales,105,Far West and Orana,11092,Bourke - Brewarrina,4223
New South Wales,105,Far West and Orana,11093,Cobar,4772
New South Wales,105,Far West and Orana,11094,Coonamble,4278
New South Wales,105,Far West and Orana,11095,Nyngan - Warren,5103
New South Wales,105,Far West and Orana,11096,Walgett - Lightning Ridge,6683
New South Wales,105,Far West and Orana,11097,Broken Hill,18027
New South Wales,105,Far West and Orana,11098,Far West,2571
New South Wales,105,Far West and Orana,11099,Coonabarabran,8075
New South Wales,105,Far West and Orana,11100,Dubbo - East,10702
New South Wales,105,Far West and Orana,11101,Dubbo - South,17380
New South Wales,105,Far West and Orana,11102,Dubbo - West,9043
New South Wales,105,Far West and Orana,11103,Dubbo Region,5728
New South Wales,105,Far West and Orana,11104,Gilgandra,4452
New South Wales,105,Far West and Orana,11105,Narromine,6694
New South Wales,105,Far West and Orana,11106,Wellington,9064
New South Wales,106,Hunter Valley exc Newcastle,11107,Branxton - Greta - Pokolbin,10404
New South Wales,106,Hunter Valley exc Newcastle,11108,Cessnock,22426
New South Wales,106,Hunter Valley exc Newcastle,11109,Cessnock Region,8062
New South Wales,106,Hunter Valley exc Newcastle,11110,Dungog,9114
New South Wales,106,Hunter Valley exc Newcastle,11111,Kurri Kurri - Abermain,18057
New South Wales,106,Hunter Valley exc Newcastle,11112,Singleton,16521
New South Wales,106,Hunter Valley exc Newcastle,11113,Singleton Region,5037
New South Wales,106,Hunter Valley exc Newcastle,11114,Maitland,6812
New South Wales,106,Hunter Valley exc Newcastle,11115,Maitland - East,28091
