id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,145.0159768,-37.79237763,1,FALSE,1,1.1,145.029404104018_-37.8001298915462,145.02940410401808,-37.80012989154621,145.03325258_-37.80345322,207011153,21153,Kew,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10.534,145.03325258,-37.80345322,8,11,500.93393686103
1,145.0294041,-37.78462538,2,FALSE,1,1.1,145.029404104018_-37.8001298915462,145.02940410401808,-37.80012989154621,145.03325258_-37.80345322,207011153,21153,Kew,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10.534,145.03325258,-37.80345322,8,11,500.93393686103
1,145.04283141,-37.79237763,3,FALSE,1,1.1,145.029404104018_-37.8001298915462,145.02940410401808,-37.80012989154621,145.03325258_-37.80345322,207011153,21153,Kew,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10.534,145.03325258,-37.80345322,8,11,500.93393686103
1,145.04283141,-37.80788215,4,FALSE,1,1.1,145.029404104018_-37.8001298915462,145.02940410401808,-37.80012989154621,145.03325258_-37.80345322,207011153,21153,Kew,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10.534,145.03325258,-37.80345322,8,11,500.93393686103
1,145.0294041,-37.81563441,5,FALSE,1,1.1,145.029404104018_-37.8001298915462,145.02940410401808,-37.80012989154621,145.03325258_-37.80345322,207011153,21153,Kew,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10.534,145.03325258,-37.80345322,8,11,500.93393686103
1,145.0159768,-37.80788215,6,FALSE,1,1.1,145.029404104018_-37.8001298915462,145.02940410401808,-37.80012989154621,145.03325258_-37.80345322,207011153,21153,Kew,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10.534,145.03325258,-37.80345322,8,11,500.93393686103
1,145.0159768,-37.79237763,7,FALSE,1,1.1,145.029404104018_-37.8001298915462,145.02940410401808,-37.80012989154621,145.03325258_-37.80345322,207011153,21153,Kew,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10.534,145.03325258,-37.80345322,8,11,500.93393686103
10,145.06968601,-37.83889118,8,FALSE,1,10.1,145.083113315696_-37.8466434332761,145.08311331569556,-37.846643433276135,145.07199998_-37.85474461,207011150,21150,Glen Iris - East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7049,145.07199998,-37.85474461,5,3,1343.6191466944106
10,145.08311332,-37.83113892,9,FALSE,1,10.1,145.083113315696_-37.8466434332761,145.08311331569556,-37.846643433276135,145.07199998_-37.85474461,207011150,21150,Glen Iris - East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7049,145.07199998,-37.85474461,5,3,1343.6191466944106
10,145.09654062,-37.83889118,10,FALSE,1,10.1,145.083113315696_-37.8466434332761,145.08311331569556,-37.846643433276135,145.07199998_-37.85474461,207011150,21150,Glen Iris - East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7049,145.07199998,-37.85474461,5,3,1343.6191466944106
10,145.09654062,-37.85439569,11,FALSE,1,10.1,145.083113315696_-37.8466434332761,145.08311331569556,-37.846643433276135,145.07199998_-37.85474461,207011150,21150,Glen Iris - East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7049,145.07199998,-37.85474461,5,3,1343.6191466944106
10,145.08311332,-37.86214795,12,FALSE,1,10.1,145.083113315696_-37.8466434332761,145.08311331569556,-37.846643433276135,145.07199998_-37.85474461,207011150,21150,Glen Iris - East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7049,145.07199998,-37.85474461,5,3,1343.6191466944106
10,145.06968601,-37.85439569,13,FALSE,1,10.1,145.083113315696_-37.8466434332761,145.08311331569556,-37.846643433276135,145.07199998_-37.85474461,207011150,21150,Glen Iris - East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7049,145.07199998,-37.85474461,5,3,1343.6191466944106
10,145.06968601,-37.83889118,14,FALSE,1,10.1,145.083113315696_-37.8466434332761,145.08311331569556,-37.846643433276135,145.07199998_-37.85474461,207011150,21150,Glen Iris - East,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.7049,145.07199998,-37.85474461,5,3,1343.6191466944106
11,145.08311332,-37.76912086,15,FALSE,1,11.1,145.096540618615_-37.7768731206813,145.09654061861497,-37.77687312068125,145.11227261_-37.76386777,207021160,21160,Templestowe Lower,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.9386,145.11227261,-37.76386777,14,18,1423.0585048948433
11,145.09654062,-37.76136861,16,FALSE,1,11.1,145.096540618615_-37.7768731206813,145.09654061861497,-37.77687312068125,145.11227261_-37.76386777,207021160,21160,Templestowe Lower,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.9386,145.11227261,-37.76386777,14,18,1423.0585048948433
11,145.10996792,-37.76912086,17,FALSE,1,11.1,145.096540618615_-37.7768731206813,145.09654061861497,-37.77687312068125,145.11227261_-37.76386777,207021160,21160,Templestowe Lower,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.9386,145.11227261,-37.76386777,14,18,1423.0585048948433
11,145.10996792,-37.78462538,18,FALSE,1,11.1,145.096540618615_-37.7768731206813,145.09654061861497,-37.77687312068125,145.11227261_-37.76386777,207021160,21160,Templestowe Lower,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.9386,145.11227261,-37.76386777,14,18,1423.0585048948433
11,145.09654062,-37.79237763,19,FALSE,1,11.1,145.096540618615_-37.7768731206813,145.09654061861497,-37.77687312068125,145.11227261_-37.76386777,207021160,21160,Templestowe Lower,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.9386,145.11227261,-37.76386777,14,18,1423.0585048948433
11,145.08311332,-37.78462538,20,FALSE,1,11.1,145.096540618615_-37.7768731206813,145.09654061861497,-37.77687312068125,145.11227261_-37.76386777,207021160,21160,Templestowe Lower,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,5.9386,145.11227261,-37.76386777,14,18,1423.0585048948433
