id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col
1,144.88899619,-37.74681191,1,FALSE,1,1.1,144.898768175715_-37.7524537643516,144.89876817571454,-37.75245376435156,144.90758364_-37.75062291,206031114,21114,Essendon - Aberfeldie,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,8.443,144.90758364,-37.75062291,10,35
1,144.89876818,-37.74117005,2,FALSE,1,1.1,144.898768175715_-37.7524537643516,144.89876817571454,-37.75245376435156,144.90758364_-37.75062291,206031114,21114,Essendon - Aberfeldie,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,8.443,144.90758364,-37.75062291,10,35
1,144.90854016,-37.74681191,3,FALSE,1,1.1,144.898768175715_-37.7524537643516,144.89876817571454,-37.75245376435156,144.90758364_-37.75062291,206031114,21114,Essendon - Aberfeldie,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,8.443,144.90758364,-37.75062291,10,35
1,144.90854016,-37.75809562,4,FALSE,1,1.1,144.898768175715_-37.7524537643516,144.89876817571454,-37.75245376435156,144.90758364_-37.75062291,206031114,21114,Essendon - Aberfeldie,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,8.443,144.90758364,-37.75062291,10,35
1,144.89876818,-37.76373748,5,FALSE,1,1.1,144.898768175715_-37.7524537643516,144.89876817571454,-37.75245376435156,144.90758364_-37.75062291,206031114,21114,Essendon - Aberfeldie,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,8.443,144.90758364,-37.75062291,10,35
1,144.88899619,-37.75809562,6,FALSE,1,1.1,144.898768175715_-37.7524537643516,144.89876817571454,-37.75245376435156,144.90758364_-37.75062291,206031114,21114,Essendon - Aberfeldie,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,8.443,144.90758364,-37.75062291,10,35
1,144.88899619,-37.74681191,7,FALSE,1,1.1,144.898768175715_-37.7524537643516,144.89876817571454,-37.75245376435156,144.90758364_-37.75062291,206031114,21114,Essendon - Aberfeldie,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,8.443,144.90758364,-37.75062291,10,35
10,144.92808414,-37.74681191,8,FALSE,1,10.1,144.937856121625_-37.7524537643516,144.93785612162532,-37.75245376435156,144.93846472_-37.74344538,206011109,21109,Pascoe Vale South,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.9887,144.93846472,-37.74344538,5,37
10,144.93785612,-37.74117005,9,FALSE,1,10.1,144.937856121625_-37.7524537643516,144.93785612162532,-37.75245376435156,144.93846472_-37.74344538,206011109,21109,Pascoe Vale South,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.9887,144.93846472,-37.74344538,5,37
10,144.94762811,-37.74681191,10,FALSE,1,10.1,144.937856121625_-37.7524537643516,144.93785612162532,-37.75245376435156,144.93846472_-37.74344538,206011109,21109,Pascoe Vale South,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.9887,144.93846472,-37.74344538,5,37
