id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,144.80879626,-38.35967684,1,FALSE,1,1.1,144.847386476733_-38.3819569115232,144.84738647673294,-38.38195691152325,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,3,4449.403888304835
1,144.84738648,-38.33739676,2,FALSE,1,1.1,144.847386476733_-38.3819569115232,144.84738647673294,-38.38195691152325,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,3,4449.403888304835
1,144.8859767,-38.35967684,3,FALSE,1,1.1,144.847386476733_-38.3819569115232,144.84738647673294,-38.38195691152325,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,3,4449.403888304835
1,144.8859767,-38.40423699,4,FALSE,1,1.1,144.847386476733_-38.3819569115232,144.84738647673294,-38.38195691152325,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,3,4449.403888304835
1,144.84738648,-38.42651706,5,FALSE,1,1.1,144.847386476733_-38.3819569115232,144.84738647673294,-38.38195691152325,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,3,4449.403888304835
1,144.80879626,-38.40423699,6,FALSE,1,1.1,144.847386476733_-38.3819569115232,144.84738647673294,-38.38195691152325,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,3,4449.403888304835
1,144.80879626,-38.35967684,7,FALSE,1,1.1,144.847386476733_-38.3819569115232,144.84738647673294,-38.38195691152325,144.79664441_-38.37860915,214021383,21383,Point Nepean,21402,Mornington Peninsula,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,67.1875,144.79664441,-38.37860915,14,3,4449.403888304835
10,145.07892779,-38.29283662,8,FALSE,1,10.1,145.117518012932_-38.3151166907484,145.11751801293232,-38.315116690748404,145.13964899_-38.15411131,214011371,21371,Frankston,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,11.6244,145.13964899,-38.15411131,2,9,15030.09905865819
10,145.11751801,-38.27055654,9,FALSE,1,10.1,145.117518012932_-38.3151166907484,145.11751801293232,-38.315116690748404,145.13964899_-38.15411131,214011371,21371,Frankston,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,11.6244,145.13964899,-38.15411131,2,9,15030.09905865819
10,145.15610823,-38.29283662,10,FALSE,1,10.1,145.117518012932_-38.3151166907484,145.11751801293232,-38.315116690748404,145.13964899_-38.15411131,214011371,21371,Frankston,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,11.6244,145.13964899,-38.15411131,2,9,15030.09905865819
10,145.15610823,-38.33739676,11,FALSE,1,10.1,145.117518012932_-38.3151166907484,145.11751801293232,-38.315116690748404,145.13964899_-38.15411131,214011371,21371,Frankston,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,11.6244,145.13964899,-38.15411131,2,9,15030.09905865819
10,145.11751801,-38.35967684,12,FALSE,1,10.1,145.117518012932_-38.3151166907484,145.11751801293232,-38.315116690748404,145.13964899_-38.15411131,214011371,21371,Frankston,21401,Frankston,214,Mornington Peninsula,2GMEL,Greater Melbourne,2,Victoria,11.6244,145.13964899,-38.15411131,2,9,15030.09905865819
