id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,152.99426853,-27.33425263,1,FALSE,1,1.1,153.007466660082_-27.3418725731402,153.00746666008155,-27.341872573140193,152.99435446_-27.35207764,302011023,31023,Bridgeman Downs,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,9.4789,152.99435446,-27.35207764,2,18,1721.051520745791
1,153.00746666,-27.32663268,2,FALSE,1,1.1,153.007466660082_-27.3418725731402,153.00746666008155,-27.341872573140193,152.99435446_-27.35207764,302011023,31023,Bridgeman Downs,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,9.4789,152.99435446,-27.35207764,2,18,1721.051520745791
1,153.02066479,-27.33425263,3,FALSE,1,1.1,153.007466660082_-27.3418725731402,153.00746666008155,-27.341872573140193,152.99435446_-27.35207764,302011023,31023,Bridgeman Downs,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,9.4789,152.99435446,-27.35207764,2,18,1721.051520745791
1,153.02066479,-27.34949252,4,FALSE,1,1.1,153.007466660082_-27.3418725731402,153.00746666008155,-27.341872573140193,152.99435446_-27.35207764,302011023,31023,Bridgeman Downs,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,9.4789,152.99435446,-27.35207764,2,18,1721.051520745791
1,153.00746666,-27.35711246,5,FALSE,1,1.1,153.007466660082_-27.3418725731402,153.00746666008155,-27.341872573140193,152.99435446_-27.35207764,302011023,31023,Bridgeman Downs,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,9.4789,152.99435446,-27.35207764,2,18,1721.051520745791
1,152.99426853,-27.34949252,6,FALSE,1,1.1,153.007466660082_-27.3418725731402,153.00746666008155,-27.341872573140193,152.99435446_-27.35207764,302011023,31023,Bridgeman Downs,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,9.4789,152.99435446,-27.35207764,2,18,1721.051520745791
1,152.99426853,-27.33425263,7,FALSE,1,1.1,153.007466660082_-27.3418725731402,153.00746666008155,-27.341872573140193,152.99435446_-27.35207764,302011023,31023,Bridgeman Downs,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,9.4789,152.99435446,-27.35207764,2,18,1721.051520745791
10,153.04706106,-27.28853296,8,FALSE,1,10.1,153.060259188927_-27.2961529020298,153.06025918892726,-27.29615290202979,153.05532473_-27.29648996,302041042,31042,Brighton (Qld),30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,6.4901,153.05532473,-27.29648996,21,25,1079.4466296093324
10,153.06025919,-27.28091301,9,FALSE,1,10.1,153.060259188927_-27.2961529020298,153.06025918892726,-27.29615290202979,153.05532473_-27.29648996,302041042,31042,Brighton (Qld),30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,6.4901,153.05532473,-27.29648996,21,25,1079.4466296093324
10,153.07345732,-27.28853296,10,FALSE,1,10.1,153.060259188927_-27.2961529020298,153.06025918892726,-27.29615290202979,153.05532473_-27.29648996,302041042,31042,Brighton (Qld),30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,6.4901,153.05532473,-27.29648996,21,25,1079.4466296093324
