id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,152.97682878,-27.53808056,1,FALSE,1,1.1,152.990767316744_-27.5461279765419,152.99076731674432,-27.54612797654193,153.01059935_-27.52125841,303021059,31059,Yeronga,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.0918,153.01059935,-27.52125841,13,20,3381.1110207070014
1,152.99076732,-27.53003315,2,FALSE,1,1.1,152.990767316744_-27.5461279765419,152.99076731674432,-27.54612797654193,153.01059935_-27.52125841,303021059,31059,Yeronga,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.0918,153.01059935,-27.52125841,13,20,3381.1110207070014
1,153.00470585,-27.53808056,3,FALSE,1,1.1,152.990767316744_-27.5461279765419,152.99076731674432,-27.54612797654193,153.01059935_-27.52125841,303021059,31059,Yeronga,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.0918,153.01059935,-27.52125841,13,20,3381.1110207070014
1,153.00470585,-27.55417539,4,FALSE,1,1.1,152.990767316744_-27.5461279765419,152.99076731674432,-27.54612797654193,153.01059935_-27.52125841,303021059,31059,Yeronga,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.0918,153.01059935,-27.52125841,13,20,3381.1110207070014
1,152.99076732,-27.56222281,5,FALSE,1,1.1,152.990767316744_-27.5461279765419,152.99076731674432,-27.54612797654193,153.01059935_-27.52125841,303021059,31059,Yeronga,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.0918,153.01059935,-27.52125841,13,20,3381.1110207070014
1,152.97682878,-27.55417539,6,FALSE,1,1.1,152.990767316744_-27.5461279765419,152.99076731674432,-27.54612797654193,153.01059935_-27.52125841,303021059,31059,Yeronga,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.0918,153.01059935,-27.52125841,13,20,3381.1110207070014
1,152.97682878,-27.53808056,7,FALSE,1,1.1,152.990767316744_-27.5461279765419,152.99076731674432,-27.54612797654193,153.01059935_-27.52125841,303021059,31059,Yeronga,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.0918,153.01059935,-27.52125841,13,20,3381.1110207070014
10,153.01864438,-27.6105073,8,FALSE,1,10.1,153.032582913597_-27.6185547148389,153.0325829135966,-27.618554714838915,153.05213852_-27.59596204,303061080,31080,Sunnybank Hills,30306,Sunnybank,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.4409,153.05213852,-27.59596204,34,6,1283.3084913663674
10,153.03258291,-27.60245988,9,FALSE,1,10.1,153.032582913597_-27.6185547148389,153.0325829135966,-27.618554714838915,153.05213852_-27.59596204,303061080,31080,Sunnybank Hills,30306,Sunnybank,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.4409,153.05213852,-27.59596204,34,6,1283.3084913663674
10,153.04652145,-27.6105073,10,FALSE,1,10.1,153.032582913597_-27.6185547148389,153.0325829135966,-27.618554714838915,153.05213852_-27.59596204,303061080,31080,Sunnybank Hills,30306,Sunnybank,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.4409,153.05213852,-27.59596204,34,6,1283.3084913663674
10,153.04652145,-27.62660213,11,FALSE,1,10.1,153.032582913597_-27.6185547148389,153.0325829135966,-27.618554714838915,153.05213852_-27.59596204,303061080,31080,Sunnybank Hills,30306,Sunnybank,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.4409,153.05213852,-27.59596204,34,6,1283.3084913663674
10,153.03258291,-27.63464955,12,FALSE,1,10.1,153.032582913597_-27.6185547148389,153.0325829135966,-27.618554714838915,153.05213852_-27.59596204,303061080,31080,Sunnybank Hills,30306,Sunnybank,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.4409,153.05213852,-27.59596204,34,6,1283.3084913663674
10,153.01864438,-27.62660213,13,FALSE,1,10.1,153.032582913597_-27.6185547148389,153.0325829135966,-27.618554714838915,153.05213852_-27.59596204,303061080,31080,Sunnybank Hills,30306,Sunnybank,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.4409,153.05213852,-27.59596204,34,6,1283.3084913663674
10,153.01864438,-27.6105073,14,FALSE,1,10.1,153.032582913597_-27.6185547148389,153.0325829135966,-27.618554714838915,153.05213852_-27.59596204,303061080,31080,Sunnybank Hills,30306,Sunnybank,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6.4409,153.05213852,-27.59596204,34,6,1283.3084913663674
11,153.03258291,-27.48979607,15,FALSE,1,11.1,153.046521445881_-27.4978434843439,153.0465214458807,-27.49784348434394,153.03659227_-27.49309285,303021058,31058,Woolloongabba,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,2.4051,153.03659227,-27.49309285,12,31,2596.8050395831056
11,153.04652145,-27.48174865,16,FALSE,1,11.1,153.046521445881_-27.4978434843439,153.0465214458807,-27.49784348434394,153.03659227_-27.49309285,303021058,31058,Woolloongabba,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,2.4051,153.03659227,-27.49309285,12,31,2596.8050395831056
11,153.06045998,-27.48979607,17,FALSE,1,11.1,153.046521445881_-27.4978434843439,153.0465214458807,-27.49784348434394,153.03659227_-27.49309285,303021058,31058,Woolloongabba,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,2.4051,153.03659227,-27.49309285,12,31,2596.8050395831056
11,153.06045998,-27.5058909,18,FALSE,1,11.1,153.046521445881_-27.4978434843439,153.0465214458807,-27.49784348434394,153.03659227_-27.49309285,303021058,31058,Woolloongabba,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,2.4051,153.03659227,-27.49309285,12,31,2596.8050395831056
11,153.04652145,-27.51393832,19,FALSE,1,11.1,153.046521445881_-27.4978434843439,153.0465214458807,-27.49784348434394,153.03659227_-27.49309285,303021058,31058,Woolloongabba,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,2.4051,153.03659227,-27.49309285,12,31,2596.8050395831056
11,153.03258291,-27.5058909,20,FALSE,1,11.1,153.046521445881_-27.4978434843439,153.0465214458807,-27.49784348434394,153.03659227_-27.49309285,303021058,31058,Woolloongabba,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,2.4051,153.03659227,-27.49309285,12,31,2596.8050395831056
11,153.03258291,-27.48979607,21,FALSE,1,11.1,153.046521445881_-27.4978434843439,153.0465214458807,-27.49784348434394,153.03659227_-27.49309285,303021058,31058,Woolloongabba,30302,Holland Park - Yeronga,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,2.4051,153.03659227,-27.49309285,12,31,2596.8050395831056
