id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,152.96243626,-27.45108696,1,FALSE,1,1.1,152.970415999963_-27.4556940621586,152.97041599996285,-27.455694062158578,152.97923502_-27.46098969,305041134,31134,Bardon,30504,Brisbane Inner - West,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,4.6853,152.97923502,-27.46098969,30,13,1050.8610980349424
1,152.970416,-27.44647985,2,FALSE,1,1.1,152.970415999963_-27.4556940621586,152.97041599996285,-27.455694062158578,152.97923502_-27.46098969,305041134,31134,Bardon,30504,Brisbane Inner - West,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,4.6853,152.97923502,-27.46098969,30,13,1050.8610980349424
1,152.97839574,-27.45108696,3,FALSE,1,1.1,152.970415999963_-27.4556940621586,152.97041599996285,-27.455694062158578,152.97923502_-27.46098969,305041134,31134,Bardon,30504,Brisbane Inner - West,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,4.6853,152.97923502,-27.46098969,30,13,1050.8610980349424
1,152.97839574,-27.46030117,4,FALSE,1,1.1,152.970415999963_-27.4556940621586,152.97041599996285,-27.455694062158578,152.97923502_-27.46098969,305041134,31134,Bardon,30504,Brisbane Inner - West,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,4.6853,152.97923502,-27.46098969,30,13,1050.8610980349424
1,152.970416,-27.46490827,5,FALSE,1,1.1,152.970415999963_-27.4556940621586,152.97041599996285,-27.455694062158578,152.97923502_-27.46098969,305041134,31134,Bardon,30504,Brisbane Inner - West,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,4.6853,152.97923502,-27.46098969,30,13,1050.8610980349424
1,152.96243626,-27.46030117,6,FALSE,1,1.1,152.970415999963_-27.4556940621586,152.97041599996285,-27.455694062158578,152.97923502_-27.46098969,305041134,31134,Bardon,30504,Brisbane Inner - West,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,4.6853,152.97923502,-27.46098969,30,13,1050.8610980349424
1,152.96243626,-27.45108696,7,FALSE,1,1.1,152.970415999963_-27.4556940621586,152.97041599996285,-27.455694062158578,152.97923502_-27.46098969,305041134,31134,Bardon,30504,Brisbane Inner - West,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,4.6853,152.97923502,-27.46098969,30,13,1050.8610980349424
10,152.99435522,-27.47872959,8,FALSE,1,10.1,153.002334962175_-27.4833366942966,153.0023349621748,-27.483336694296565,153.00586874_-27.48339811,305011112,31112,West End,30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,1.9654,153.00586874,-27.48339811,8,2,127.42493429324927
10,153.00233496,-27.47412248,9,FALSE,1,10.1,153.002334962175_-27.4833366942966,153.0023349621748,-27.483336694296565,153.00586874_-27.48339811,305011112,31112,West End,30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,1.9654,153.00586874,-27.48339811,8,2,127.42493429324927
10,153.0103147,-27.47872959,10,FALSE,1,10.1,153.002334962175_-27.4833366942966,153.0023349621748,-27.483336694296565,153.00586874_-27.48339811,305011112,31112,West End,30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,1.9654,153.00586874,-27.48339811,8,2,127.42493429324927
10,153.0103147,-27.4879438,11,FALSE,1,10.1,153.002334962175_-27.4833366942966,153.0023349621748,-27.483336694296565,153.00586874_-27.48339811,305011112,31112,West End,30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,1.9654,153.00586874,-27.48339811,8,2,127.42493429324927
10,153.00233496,-27.49255091,12,FALSE,1,10.1,153.002334962175_-27.4833366942966,153.0023349621748,-27.483336694296565,153.00586874_-27.48339811,305011112,31112,West End,30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,1.9654,153.00586874,-27.48339811,8,2,127.42493429324927
10,152.99435522,-27.4879438,13,FALSE,1,10.1,153.002334962175_-27.4833366942966,153.0023349621748,-27.483336694296565,153.00586874_-27.48339811,305011112,31112,West End,30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,1.9654,153.00586874,-27.48339811,8,2,127.42493429324927
10,152.99435522,-27.47872959,14,FALSE,1,10.1,153.002334962175_-27.4833366942966,153.0023349621748,-27.483336694296565,153.00586874_-27.48339811,305011112,31112,West End,30501,Brisbane Inner,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,1.9654,153.00586874,-27.48339811,8,2,127.42493429324927
11,153.00233496,-27.43726564,15,FALSE,1,11.1,153.010314702728_-27.4418727460896,153.0103147027278,-27.441872746089587,153.01689989_-27.44886862,305031126,31126,Kelvin Grove - Herston,30503,Brisbane Inner - North,305,Brisbane Inner City,3GBRI,Greater Brisbane,3,Queensland,3.3694,153.01689989,-27.44886862,22,23,778.7277016754053
