id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,147.0203706,-23.16758924,1,FALSE,1,1.1,147.311614479337_-23.3357389769042,147.31161447933655,-23.33573897690423,148.16255571_-23.5354936,308011192,31192,Emerald,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,38.9821,148.16255571,-23.5354936,3,26,89729.84647514053
1,147.31161448,-22.99943951,2,FALSE,1,1.1,147.311614479337_-23.3357389769042,147.31161447933655,-23.33573897690423,148.16255571_-23.5354936,308011192,31192,Emerald,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,38.9821,148.16255571,-23.5354936,3,26,89729.84647514053
1,147.60285836,-23.16758924,3,FALSE,1,1.1,147.311614479337_-23.3357389769042,147.31161447933655,-23.33573897690423,148.16255571_-23.5354936,308011192,31192,Emerald,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,38.9821,148.16255571,-23.5354936,3,26,89729.84647514053
1,147.60285836,-23.50388871,4,FALSE,1,1.1,147.311614479337_-23.3357389769042,147.31161447933655,-23.33573897690423,148.16255571_-23.5354936,308011192,31192,Emerald,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,38.9821,148.16255571,-23.5354936,3,26,89729.84647514053
1,147.31161448,-23.67203845,5,FALSE,1,1.1,147.311614479337_-23.3357389769042,147.31161447933655,-23.33573897690423,148.16255571_-23.5354936,308011192,31192,Emerald,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,38.9821,148.16255571,-23.5354936,3,26,89729.84647514053
1,147.0203706,-23.50388871,6,FALSE,1,1.1,147.311614479337_-23.3357389769042,147.31161447933655,-23.33573897690423,148.16255571_-23.5354936,308011192,31192,Emerald,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,38.9821,148.16255571,-23.5354936,3,26,89729.84647514053
1,147.0203706,-23.16758924,7,FALSE,1,1.1,147.311614479337_-23.3357389769042,147.31161447933655,-23.33573897690423,148.16255571_-23.5354936,308011192,31192,Emerald,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,38.9821,148.16255571,-23.5354936,3,26,89729.84647514053
10,148.18534613,-24.17648765,8,FALSE,1,10.1,148.476590010657_-24.3446373818149,148.4765900106568,-24.344637381814852,149.32829241_-23.92402355,308011190,31190,Central Highlands - East,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,18635.1606,149.32829241,-23.92402355,1,12,264673.4124060181
10,148.47659001,-24.00833791,9,FALSE,1,10.1,148.476590010657_-24.3446373818149,148.4765900106568,-24.344637381814852,149.32829241_-23.92402355,308011190,31190,Central Highlands - East,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,18635.1606,149.32829241,-23.92402355,1,12,264673.4124060181
10,148.76783389,-24.17648765,10,FALSE,1,10.1,148.476590010657_-24.3446373818149,148.4765900106568,-24.344637381814852,149.32829241_-23.92402355,308011190,31190,Central Highlands - East,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,18635.1606,149.32829241,-23.92402355,1,12,264673.4124060181
10,148.76783389,-24.51278712,11,FALSE,1,10.1,148.476590010657_-24.3446373818149,148.4765900106568,-24.344637381814852,149.32829241_-23.92402355,308011190,31190,Central Highlands - East,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,18635.1606,149.32829241,-23.92402355,1,12,264673.4124060181
10,148.47659001,-24.68093685,12,FALSE,1,10.1,148.476590010657_-24.3446373818149,148.4765900106568,-24.344637381814852,149.32829241_-23.92402355,308011190,31190,Central Highlands - East,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,18635.1606,149.32829241,-23.92402355,1,12,264673.4124060181
10,148.18534613,-24.51278712,13,FALSE,1,10.1,148.476590010657_-24.3446373818149,148.4765900106568,-24.344637381814852,149.32829241_-23.92402355,308011190,31190,Central Highlands - East,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,18635.1606,149.32829241,-23.92402355,1,12,264673.4124060181
10,148.18534613,-24.17648765,14,FALSE,1,10.1,148.476590010657_-24.3446373818149,148.4765900106568,-24.344637381814852,149.32829241_-23.92402355,308011190,31190,Central Highlands - East,30801,Central Highlands (Qld),308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,18635.1606,149.32829241,-23.92402355,1,12,264673.4124060181
11,148.47659001,-23.67203845,15,FALSE,1,11.1,148.767833893487_-23.8401881793595,148.7678338934869,-23.840188179359544,150.53077382_-23.3734567,308031205,31205,Berserker,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,10.0234,150.53077382,-23.3734567,4,21,41798.72476666922
11,148.76783389,-23.50388871,16,FALSE,1,11.1,148.767833893487_-23.8401881793595,148.7678338934869,-23.840188179359544,150.53077382_-23.3734567,308031205,31205,Berserker,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,10.0234,150.53077382,-23.3734567,4,21,41798.72476666922
11,149.05907778,-23.67203845,17,FALSE,1,11.1,148.767833893487_-23.8401881793595,148.7678338934869,-23.840188179359544,150.53077382_-23.3734567,308031205,31205,Berserker,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,10.0234,150.53077382,-23.3734567,4,21,41798.72476666922
11,149.05907778,-24.00833791,18,FALSE,1,11.1,148.767833893487_-23.8401881793595,148.7678338934869,-23.840188179359544,150.53077382_-23.3734567,308031205,31205,Berserker,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,10.0234,150.53077382,-23.3734567,4,21,41798.72476666922
11,148.76783389,-24.17648765,19,FALSE,1,11.1,148.767833893487_-23.8401881793595,148.7678338934869,-23.840188179359544,150.53077382_-23.3734567,308031205,31205,Berserker,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,10.0234,150.53077382,-23.3734567,4,21,41798.72476666922
11,148.47659001,-24.00833791,20,FALSE,1,11.1,148.767833893487_-23.8401881793595,148.7678338934869,-23.840188179359544,150.53077382_-23.3734567,308031205,31205,Berserker,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,10.0234,150.53077382,-23.3734567,4,21,41798.72476666922
11,148.47659001,-23.67203845,21,FALSE,1,11.1,148.767833893487_-23.8401881793595,148.7678338934869,-23.840188179359544,150.53077382_-23.3734567,308031205,31205,Berserker,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,10.0234,150.53077382,-23.3734567,4,21,41798.72476666922
12,148.47659001,-24.68093685,22,FALSE,1,12.1,148.767833893487_-24.8490865842702,148.7678338934869,-24.849086584270168,150.70564243_-23.36628407,308031218,31218,Rockhampton Region - East,30803,Rockhampton,308,Central Queensland,3RQLD,Rest of Qld,3,Queensland,680.8738,150.70564243,-23.36628407,17,6,77520.89703037667
