id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,152.1271042,-26.62693113,1,FALSE,1,1.1,152.195888607909_-26.6666438318539,152.19588860790864,-26.666643831853875,152.38357457_-26.78345766,313031370,31370,Kilcoy,31303,Caboolture Hinterland,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,2863.2648,152.38357457,-26.78345766,9,16,22720.703998377438
1,152.19588861,-26.58721843,2,FALSE,1,1.1,152.195888607909_-26.6666438318539,152.19588860790864,-26.666643831853875,152.38357457_-26.78345766,313031370,31370,Kilcoy,31303,Caboolture Hinterland,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,2863.2648,152.38357457,-26.78345766,9,16,22720.703998377438
1,152.26467302,-26.62693113,3,FALSE,1,1.1,152.195888607909_-26.6666438318539,152.19588860790864,-26.666643831853875,152.38357457_-26.78345766,313031370,31370,Kilcoy,31303,Caboolture Hinterland,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,2863.2648,152.38357457,-26.78345766,9,16,22720.703998377438
1,152.26467302,-26.70635653,4,FALSE,1,1.1,152.195888607909_-26.6666438318539,152.19588860790864,-26.666643831853875,152.38357457_-26.78345766,313031370,31370,Kilcoy,31303,Caboolture Hinterland,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,2863.2648,152.38357457,-26.78345766,9,16,22720.703998377438
1,152.19588861,-26.74606923,5,FALSE,1,1.1,152.195888607909_-26.6666438318539,152.19588860790864,-26.666643831853875,152.38357457_-26.78345766,313031370,31370,Kilcoy,31303,Caboolture Hinterland,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,2863.2648,152.38357457,-26.78345766,9,16,22720.703998377438
1,152.1271042,-26.70635653,6,FALSE,1,1.1,152.195888607909_-26.6666438318539,152.19588860790864,-26.666643831853875,152.38357457_-26.78345766,313031370,31370,Kilcoy,31303,Caboolture Hinterland,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,2863.2648,152.38357457,-26.78345766,9,16,22720.703998377438
1,152.1271042,-26.62693113,7,FALSE,1,1.1,152.195888607909_-26.6666438318539,152.19588860790864,-26.666643831853875,152.38357457_-26.78345766,313031370,31370,Kilcoy,31303,Caboolture Hinterland,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,2863.2648,152.38357457,-26.78345766,9,16,22720.703998377438
10,152.40224184,-26.62693113,8,FALSE,1,10.1,152.471026257199_-26.6666438318539,152.47102625719887,-26.666643831853875,153.39263291_-27.15378229,313051542,31542,Scarborough - Newport - Moreton Island,31305,Redcliffe,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,183.4277,153.39263291,-27.15378229,20,18,19670.90932252689
10,152.47102626,-26.58721843,9,FALSE,1,10.1,152.471026257199_-26.6666438318539,152.47102625719887,-26.666643831853875,153.39263291_-27.15378229,313051542,31542,Scarborough - Newport - Moreton Island,31305,Redcliffe,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,183.4277,153.39263291,-27.15378229,20,18,19670.90932252689
10,152.53981067,-26.62693113,10,FALSE,1,10.1,152.471026257199_-26.6666438318539,152.47102625719887,-26.666643831853875,153.39263291_-27.15378229,313051542,31542,Scarborough - Newport - Moreton Island,31305,Redcliffe,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,183.4277,153.39263291,-27.15378229,20,18,19670.90932252689
10,152.53981067,-26.70635653,11,FALSE,1,10.1,152.471026257199_-26.6666438318539,152.47102625719887,-26.666643831853875,153.39263291_-27.15378229,313051542,31542,Scarborough - Newport - Moreton Island,31305,Redcliffe,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,183.4277,153.39263291,-27.15378229,20,18,19670.90932252689
10,152.47102626,-26.74606923,12,FALSE,1,10.1,152.471026257199_-26.6666438318539,152.47102625719887,-26.666643831853875,153.39263291_-27.15378229,313051542,31542,Scarborough - Newport - Moreton Island,31305,Redcliffe,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,183.4277,153.39263291,-27.15378229,20,18,19670.90932252689
