id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,139.08934708,-18.86043442,1,FALSE,1,1.1,140.237122317388_-19.5231027599368,140.23712231738838,-19.523102759936773,140.27065265_-17.73981965,315021404,31404,Carpentaria,31502,Outback - North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,114445.7683,140.27065265,-17.73981965,10,12,197404.43212364762
1,140.23712232,-18.19776608,2,FALSE,1,1.1,140.237122317388_-19.5231027599368,140.23712231738838,-19.523102759936773,140.27065265_-17.73981965,315021404,31404,Carpentaria,31502,Outback - North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,114445.7683,140.27065265,-17.73981965,10,12,197404.43212364762
1,141.38489755,-18.86043442,3,FALSE,1,1.1,140.237122317388_-19.5231027599368,140.23712231738838,-19.523102759936773,140.27065265_-17.73981965,315021404,31404,Carpentaria,31502,Outback - North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,114445.7683,140.27065265,-17.73981965,10,12,197404.43212364762
1,141.38489755,-20.1857711,4,FALSE,1,1.1,140.237122317388_-19.5231027599368,140.23712231738838,-19.523102759936773,140.27065265_-17.73981965,315021404,31404,Carpentaria,31502,Outback - North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,114445.7683,140.27065265,-17.73981965,10,12,197404.43212364762
1,140.23712232,-20.84843944,5,FALSE,1,1.1,140.237122317388_-19.5231027599368,140.23712231738838,-19.523102759936773,140.27065265_-17.73981965,315021404,31404,Carpentaria,31502,Outback - North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,114445.7683,140.27065265,-17.73981965,10,12,197404.43212364762
1,139.08934708,-20.1857711,6,FALSE,1,1.1,140.237122317388_-19.5231027599368,140.23712231738838,-19.523102759936773,140.27065265_-17.73981965,315021404,31404,Carpentaria,31502,Outback - North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,114445.7683,140.27065265,-17.73981965,10,12,197404.43212364762
1,139.08934708,-18.86043442,7,FALSE,1,1.1,140.237122317388_-19.5231027599368,140.23712231738838,-19.523102759936773,140.27065265_-17.73981965,315021404,31404,Carpentaria,31502,Outback - North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,114445.7683,140.27065265,-17.73981965,10,12,197404.43212364762
10,141.38489755,-26.8124545,8,FALSE,1,10.1,142.532672785_-27.475122842419,142.5326727849996,-27.47512284241899,143.85995412_-27.44274565,315031411,31411,Far South West,31503,Outback - South,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,188751.2847,143.85995412,-27.44274565,17,1,1498854.2518943024
10,142.53267278,-26.14978616,9,FALSE,1,10.1,142.532672785_-27.475122842419,142.5326727849996,-27.47512284241899,143.85995412_-27.44274565,315031411,31411,Far South West,31503,Outback - South,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,188751.2847,143.85995412,-27.44274565,17,1,1498854.2518943024
10,143.68044802,-26.8124545,10,FALSE,1,10.1,142.532672785_-27.475122842419,142.5326727849996,-27.47512284241899,143.85995412_-27.44274565,315031411,31411,Far South West,31503,Outback - South,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,188751.2847,143.85995412,-27.44274565,17,1,1498854.2518943024
10,143.68044802,-28.13779118,11,FALSE,1,10.1,142.532672785_-27.475122842419,142.5326727849996,-27.47512284241899,143.85995412_-27.44274565,315031411,31411,Far South West,31503,Outback - South,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,188751.2847,143.85995412,-27.44274565,17,1,1498854.2518943024
10,142.53267278,-28.80045952,12,FALSE,1,10.1,142.532672785_-27.475122842419,142.5326727849996,-27.47512284241899,143.85995412_-27.44274565,315031411,31411,Far South West,31503,Outback - South,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,188751.2847,143.85995412,-27.44274565,17,1,1498854.2518943024
10,141.38489755,-28.13779118,13,FALSE,1,10.1,142.532672785_-27.475122842419,142.5326727849996,-27.47512284241899,143.85995412_-27.44274565,315031411,31411,Far South West,31503,Outback - South,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,188751.2847,143.85995412,-27.44274565,17,1,1498854.2518943024
10,141.38489755,-26.8124545,14,FALSE,1,10.1,142.532672785_-27.475122842419,142.5326727849996,-27.47512284241899,143.85995412_-27.44274565,315031411,31411,Far South West,31503,Outback - South,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,188751.2847,143.85995412,-27.44274565,17,1,1498854.2518943024
11,142.53267278,-16.8724294,15,FALSE,1,11.1,143.680448018805_-17.5350977393162,143.6804480188052,-17.535097739316218,143.25202817_-14.16659066,315011396,31396,Cape York,31501,Far North,315,Queensland - Outback,3RQLD,Rest of Qld,3,Queensland,112960.6967,143.25202817,-14.16659066,2,15,316092.66493198584
