id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,151.8698356,-27.45607339,1,FALSE,1,1.1,151.926527893974_-27.4888047030173,151.926527893974,-27.48880470301727,151.92315327_-27.52612031,317011459,31459,Wilsonton,31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,18.9445,151.92315327,-27.52612031,15,10,4148.1865406957995
1,151.92652789,-27.42334208,2,FALSE,1,1.1,151.926527893974_-27.4888047030173,151.926527893974,-27.48880470301727,151.92315327_-27.52612031,317011459,31459,Wilsonton,31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,18.9445,151.92315327,-27.52612031,15,10,4148.1865406957995
1,151.98322019,-27.45607339,3,FALSE,1,1.1,151.926527893974_-27.4888047030173,151.926527893974,-27.48880470301727,151.92315327_-27.52612031,317011459,31459,Wilsonton,31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,18.9445,151.92315327,-27.52612031,15,10,4148.1865406957995
1,151.98322019,-27.52153602,4,FALSE,1,1.1,151.926527893974_-27.4888047030173,151.926527893974,-27.48880470301727,151.92315327_-27.52612031,317011459,31459,Wilsonton,31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,18.9445,151.92315327,-27.52612031,15,10,4148.1865406957995
1,151.92652789,-27.55426733,5,FALSE,1,1.1,151.926527893974_-27.4888047030173,151.926527893974,-27.48880470301727,151.92315327_-27.52612031,317011459,31459,Wilsonton,31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,18.9445,151.92315327,-27.52612031,15,10,4148.1865406957995
1,151.8698356,-27.52153602,6,FALSE,1,1.1,151.926527893974_-27.4888047030173,151.926527893974,-27.48880470301727,151.92315327_-27.52612031,317011459,31459,Wilsonton,31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,18.9445,151.92315327,-27.52612031,15,10,4148.1865406957995
1,151.8698356,-27.45607339,7,FALSE,1,1.1,151.926527893974_-27.4888047030173,151.926527893974,-27.48880470301727,151.92315327_-27.52612031,317011459,31459,Wilsonton,31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,18.9445,151.92315327,-27.52612031,15,10,4148.1865406957995
10,152.15329709,-27.35787945,8,FALSE,1,10.1,152.209989386539_-27.390610761595,152.20998938653875,-27.390610761594978,151.96348779_-27.42325598,317011450,31450,Highfields,31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,149.2803,151.96348779,-27.42325598,6,15,3097.627116952759
10,152.20998939,-27.32514813,9,FALSE,1,10.1,152.209989386539_-27.390610761595,152.20998938653875,-27.390610761594978,151.96348779_-27.42325598,317011450,31450,Highfields,31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,149.2803,151.96348779,-27.42325598,6,15,3097.627116952759
10,152.26668169,-27.35787945,10,FALSE,1,10.1,152.209989386539_-27.390610761595,152.20998938653875,-27.390610761594978,151.96348779_-27.42325598,317011450,31450,Highfields,31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,149.2803,151.96348779,-27.42325598,6,15,3097.627116952759
