id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col
1,143.21633329,-36.88149773,1,FALSE,1,1.1,143.339217341035_-36.9524448680505,143.3392173410354,-36.95244486805051,143.37405324_-37.10894445,201031013,21013,Avoca,20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,1714.2399,143.37405324,-37.10894445,13,15
1,143.33921734,-36.81055059,2,FALSE,1,1.1,143.339217341035_-36.9524448680505,143.3392173410354,-36.95244486805051,143.37405324_-37.10894445,201031013,21013,Avoca,20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,1714.2399,143.37405324,-37.10894445,13,15
1,143.46210139,-36.88149773,3,FALSE,1,1.1,143.339217341035_-36.9524448680505,143.3392173410354,-36.95244486805051,143.37405324_-37.10894445,201031013,21013,Avoca,20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,1714.2399,143.37405324,-37.10894445,13,15
1,143.46210139,-37.02339201,4,FALSE,1,1.1,143.339217341035_-36.9524448680505,143.3392173410354,-36.95244486805051,143.37405324_-37.10894445,201031013,21013,Avoca,20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,1714.2399,143.37405324,-37.10894445,13,15
1,143.33921734,-37.09433915,5,FALSE,1,1.1,143.339217341035_-36.9524448680505,143.3392173410354,-36.95244486805051,143.37405324_-37.10894445,201031013,21013,Avoca,20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,1714.2399,143.37405324,-37.10894445,13,15
1,143.21633329,-37.02339201,6,FALSE,1,1.1,143.339217341035_-36.9524448680505,143.3392173410354,-36.95244486805051,143.37405324_-37.10894445,201031013,21013,Avoca,20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,1714.2399,143.37405324,-37.10894445,13,15
1,143.21633329,-36.88149773,7,FALSE,1,1.1,143.339217341035_-36.9524448680505,143.3392173410354,-36.95244486805051,143.37405324_-37.10894445,201031013,21013,Avoca,20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,1714.2399,143.37405324,-37.10894445,13,15
10,143.7078695,-36.88149773,8,FALSE,1,10.1,143.830753547155_-36.9524448680505,143.83075354715487,-36.95244486805051,143.74405753_-37.04748082,201031016,21016,Maryborough (Vic.),20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,45.5379,143.74405753,-37.04748082,16,17
10,143.83075355,-36.81055059,9,FALSE,1,10.1,143.830753547155_-36.9524448680505,143.83075354715487,-36.95244486805051,143.74405753_-37.04748082,201031016,21016,Maryborough (Vic.),20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,45.5379,143.74405753,-37.04748082,16,17
10,143.9536376,-36.88149773,10,FALSE,1,10.1,143.830753547155_-36.9524448680505,143.83075354715487,-36.95244486805051,143.74405753_-37.04748082,201031016,21016,Maryborough (Vic.),20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,45.5379,143.74405753,-37.04748082,16,17
10,143.9536376,-37.02339201,11,FALSE,1,10.1,143.830753547155_-36.9524448680505,143.83075354715487,-36.95244486805051,143.74405753_-37.04748082,201031016,21016,Maryborough (Vic.),20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,45.5379,143.74405753,-37.04748082,16,17
10,143.83075355,-37.09433915,12,FALSE,1,10.1,143.830753547155_-36.9524448680505,143.83075354715487,-36.95244486805051,143.74405753_-37.04748082,201031016,21016,Maryborough (Vic.),20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,45.5379,143.74405753,-37.04748082,16,17
10,143.7078695,-37.02339201,13,FALSE,1,10.1,143.830753547155_-36.9524448680505,143.83075354715487,-36.95244486805051,143.74405753_-37.04748082,201031016,21016,Maryborough (Vic.),20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,45.5379,143.74405753,-37.04748082,16,17
10,143.7078695,-36.88149773,14,FALSE,1,10.1,143.830753547155_-36.9524448680505,143.83075354715487,-36.95244486805051,143.74405753_-37.04748082,201031016,21016,Maryborough (Vic.),20103,Maryborough - Pyrenees,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,45.5379,143.74405753,-37.04748082,16,17
11,143.7078695,-37.30718057,15,FALSE,1,11.1,143.830753547155_-37.3781277094298,143.83075354715487,-37.37812770942978,143.83664874_-37.55615718,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,12.3787,143.83664874,-37.55615718,2,10
11,143.83075355,-37.23623343,16,FALSE,1,11.1,143.830753547155_-37.3781277094298,143.83075354715487,-37.37812770942978,143.83664874_-37.55615718,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,12.3787,143.83664874,-37.55615718,2,10
11,143.9536376,-37.30718057,17,FALSE,1,11.1,143.830753547155_-37.3781277094298,143.83075354715487,-37.37812770942978,143.83664874_-37.55615718,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,12.3787,143.83664874,-37.55615718,2,10
11,143.9536376,-37.44907485,18,FALSE,1,11.1,143.830753547155_-37.3781277094298,143.83075354715487,-37.37812770942978,143.83664874_-37.55615718,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,12.3787,143.83664874,-37.55615718,2,10
11,143.83075355,-37.52002199,19,FALSE,1,11.1,143.830753547155_-37.3781277094298,143.83075354715487,-37.37812770942978,143.83664874_-37.55615718,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,12.3787,143.83664874,-37.55615718,2,10
11,143.7078695,-37.44907485,20,FALSE,1,11.1,143.830753547155_-37.3781277094298,143.83075354715487,-37.37812770942978,143.83664874_-37.55615718,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,12.3787,143.83664874,-37.55615718,2,10
11,143.7078695,-37.30718057,21,FALSE,1,11.1,143.830753547155_-37.3781277094298,143.83075354715487,-37.37812770942978,143.83664874_-37.55615718,201011002,21002,Ballarat,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,12.3787,143.83664874,-37.55615718,2,10
12,143.83075355,-37.52002199,22,FALSE,1,12.1,143.953637598685_-37.5909691301194,143.95363759868474,-37.590969130119426,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,5
12,143.9536376,-37.44907485,23,FALSE,1,12.1,143.953637598685_-37.5909691301194,143.95363759868474,-37.590969130119426,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,5
12,144.07652165,-37.52002199,24,FALSE,1,12.1,143.953637598685_-37.5909691301194,143.95363759868474,-37.590969130119426,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,5
12,144.07652165,-37.66191627,25,FALSE,1,12.1,143.953637598685_-37.5909691301194,143.95363759868474,-37.590969130119426,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,5
12,143.9536376,-37.73286341,26,FALSE,1,12.1,143.953637598685_-37.5909691301194,143.95363759868474,-37.590969130119426,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,5
12,143.83075355,-37.66191627,27,FALSE,1,12.1,143.953637598685_-37.5909691301194,143.95363759868474,-37.590969130119426,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,5
12,143.83075355,-37.52002199,28,FALSE,1,12.1,143.953637598685_-37.5909691301194,143.95363759868474,-37.590969130119426,143.86203031_-37.59330503,201011004,21004,Ballarat - South,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,32.8541,143.86203031,-37.59330503,4,5
13,143.9536376,-37.30718057,29,FALSE,1,13.1,144.076521650215_-37.3781277094298,144.07652165021457,-37.37812770942978,143.89947737_-37.52716194,201011003,21003,Ballarat - North,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,92.3577,143.89947737,-37.52716194,3,11
13,144.07652165,-37.23623343,30,FALSE,1,13.1,144.076521650215_-37.3781277094298,144.07652165021457,-37.37812770942978,143.89947737_-37.52716194,201011003,21003,Ballarat - North,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,92.3577,143.89947737,-37.52716194,3,11
13,144.1994057,-37.30718057,31,FALSE,1,13.1,144.076521650215_-37.3781277094298,144.07652165021457,-37.37812770942978,143.89947737_-37.52716194,201011003,21003,Ballarat - North,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,92.3577,143.89947737,-37.52716194,3,11
13,144.1994057,-37.44907485,32,FALSE,1,13.1,144.076521650215_-37.3781277094298,144.07652165021457,-37.37812770942978,143.89947737_-37.52716194,201011003,21003,Ballarat - North,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,92.3577,143.89947737,-37.52716194,3,11
13,144.07652165,-37.52002199,33,FALSE,1,13.1,144.076521650215_-37.3781277094298,144.07652165021457,-37.37812770942978,143.89947737_-37.52716194,201011003,21003,Ballarat - North,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,92.3577,143.89947737,-37.52716194,3,11
13,143.9536376,-37.44907485,34,FALSE,1,13.1,144.076521650215_-37.3781277094298,144.07652165021457,-37.37812770942978,143.89947737_-37.52716194,201011003,21003,Ballarat - North,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,92.3577,143.89947737,-37.52716194,3,11
13,143.9536376,-37.30718057,35,FALSE,1,13.1,144.076521650215_-37.3781277094298,144.07652165021457,-37.37812770942978,143.89947737_-37.52716194,201011003,21003,Ballarat - North,20101,Ballarat,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,92.3577,143.89947737,-37.52716194,3,11
14,144.07652165,-37.52002199,36,FALSE,1,14.1,144.199405701744_-37.5909691301194,144.1994057017444,-37.590969130119426,144.03935977_-37.64734116,201021012,21012,Gordon (Vic.),20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,850.3137,144.03935977,-37.64734116,12,6
14,144.1994057,-37.44907485,37,FALSE,1,14.1,144.199405701744_-37.5909691301194,144.1994057017444,-37.590969130119426,144.03935977_-37.64734116,201021012,21012,Gordon (Vic.),20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,850.3137,144.03935977,-37.64734116,12,6
14,144.32228975,-37.52002199,38,FALSE,1,14.1,144.199405701744_-37.5909691301194,144.1994057017444,-37.590969130119426,144.03935977_-37.64734116,201021012,21012,Gordon (Vic.),20102,Creswick - Daylesford - Ballan,201,Ballarat,2RVIC,Rest of Vic.,2,Victoria,850.3137,144.03935977,-37.64734116,12,6
