id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,145.28398182,-38.3384237,1,FALSE,1,1.1,145.488540366337_-38.4565256275831,145.4885403663367,-38.45652562758315,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,2,21950.073343369033
1,145.48854037,-38.22032177,2,FALSE,1,1.1,145.488540366337_-38.4565256275831,145.4885403663367,-38.45652562758315,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,2,21950.073343369033
1,145.69309891,-38.3384237,3,FALSE,1,1.1,145.488540366337_-38.4565256275831,145.4885403663367,-38.45652562758315,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,2,21950.073343369033
1,145.69309891,-38.57462756,4,FALSE,1,1.1,145.488540366337_-38.4565256275831,145.4885403663367,-38.45652562758315,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,2,21950.073343369033
1,145.48854037,-38.69272949,5,FALSE,1,1.1,145.488540366337_-38.4565256275831,145.4885403663367,-38.45652562758315,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,2,21950.073343369033
1,145.28398182,-38.57462756,6,FALSE,1,1.1,145.488540366337_-38.4565256275831,145.4885403663367,-38.45652562758315,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,2,21950.073343369033
1,145.28398182,-38.3384237,7,FALSE,1,1.1,145.488540366337_-38.4565256275831,145.4885403663367,-38.45652562758315,145.24079265_-38.49066712,205031091,21091,Phillip Island,20503,Gippsland - South West,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,100.5732,145.24079265,-38.49066712,16,2,21950.073343369033
10,146.71589162,-37.27550634,8,FALSE,1,10.1,146.920450158243_-37.3936082655389,146.92045015824274,-37.39360826553889,146.8478617_-37.44824047,205051099,21099,Alps - West,20505,Wellington,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,2955.6801,146.8478617,-37.44824047,24,18,91666.65455556625
10,146.92045016,-37.15740441,9,FALSE,1,10.1,146.920450158243_-37.3936082655389,146.92045015824274,-37.39360826553889,146.8478617_-37.44824047,205051099,21099,Alps - West,20505,Wellington,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,2955.6801,146.8478617,-37.44824047,24,18,91666.65455556625
10,147.1250087,-37.27550634,10,FALSE,1,10.1,146.920450158243_-37.3936082655389,146.92045015824274,-37.39360826553889,146.8478617_-37.44824047,205051099,21099,Alps - West,20505,Wellington,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,2955.6801,146.8478617,-37.44824047,24,18,91666.65455556625
