id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,145.09882745,-37.87078924,1,FALSE,1,1.1,145.13330325511_-37.8906938550572,145.1333032551102,-37.89069385505716,145.12720266_-37.88726379,212051324,21324,Mount Waverley - South,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8.7006,145.12720266,-37.88726379,42,43,657.9807734324627
1,145.13330326,-37.85088462,2,FALSE,1,1.1,145.13330325511_-37.8906938550572,145.1333032551102,-37.89069385505716,145.12720266_-37.88726379,212051324,21324,Mount Waverley - South,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8.7006,145.12720266,-37.88726379,42,43,657.9807734324627
1,145.16777906,-37.87078924,3,FALSE,1,1.1,145.13330325511_-37.8906938550572,145.1333032551102,-37.89069385505716,145.12720266_-37.88726379,212051324,21324,Mount Waverley - South,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8.7006,145.12720266,-37.88726379,42,43,657.9807734324627
1,145.16777906,-37.91059847,4,FALSE,1,1.1,145.13330325511_-37.8906938550572,145.1333032551102,-37.89069385505716,145.12720266_-37.88726379,212051324,21324,Mount Waverley - South,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8.7006,145.12720266,-37.88726379,42,43,657.9807734324627
1,145.13330326,-37.93050309,5,FALSE,1,1.1,145.13330325511_-37.8906938550572,145.1333032551102,-37.89069385505716,145.12720266_-37.88726379,212051324,21324,Mount Waverley - South,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8.7006,145.12720266,-37.88726379,42,43,657.9807734324627
1,145.09882745,-37.91059847,6,FALSE,1,1.1,145.13330325511_-37.8906938550572,145.1333032551102,-37.89069385505716,145.12720266_-37.88726379,212051324,21324,Mount Waverley - South,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8.7006,145.12720266,-37.88726379,42,43,657.9807734324627
1,145.09882745,-37.87078924,7,FALSE,1,1.1,145.13330325511_-37.8906938550572,145.1333032551102,-37.89069385505716,145.12720266_-37.88726379,212051324,21324,Mount Waverley - South,21205,Monash,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8.7006,145.12720266,-37.88726379,42,43,657.9807734324627
10,145.27120647,-38.16935847,8,FALSE,1,10.1,145.305682277963_-38.1892630807977,145.30568227796323,-38.18926308079769,145.1639159_-38.01453706,212041314,21314,Keysborough,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,30.2794,145.1639159,-38.01453706,31,6,19905.23065525808
10,145.30568228,-38.14945385,9,FALSE,1,10.1,145.305682277963_-38.1892630807977,145.30568227796323,-38.18926308079769,145.1639159_-38.01453706,212041314,21314,Keysborough,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,30.2794,145.1639159,-38.01453706,31,6,19905.23065525808
10,145.34015808,-38.16935847,10,FALSE,1,10.1,145.305682277963_-38.1892630807977,145.30568227796323,-38.18926308079769,145.1639159_-38.01453706,212041314,21314,Keysborough,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,30.2794,145.1639159,-38.01453706,31,6,19905.23065525808
10,145.34015808,-38.2091677,11,FALSE,1,10.1,145.305682277963_-38.1892630807977,145.30568227796323,-38.18926308079769,145.1639159_-38.01453706,212041314,21314,Keysborough,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,30.2794,145.1639159,-38.01453706,31,6,19905.23065525808
10,145.30568228,-38.22907231,12,FALSE,1,10.1,145.305682277963_-38.1892630807977,145.30568227796323,-38.18926308079769,145.1639159_-38.01453706,212041314,21314,Keysborough,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,30.2794,145.1639159,-38.01453706,31,6,19905.23065525808
10,145.27120647,-38.2091677,13,FALSE,1,10.1,145.305682277963_-38.1892630807977,145.30568227796323,-38.18926308079769,145.1639159_-38.01453706,212041314,21314,Keysborough,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,30.2794,145.1639159,-38.01453706,31,6,19905.23065525808
10,145.27120647,-38.16935847,14,FALSE,1,10.1,145.305682277963_-38.1892630807977,145.30568227796323,-38.18926308079769,145.1639159_-38.01453706,212041314,21314,Keysborough,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,30.2794,145.1639159,-38.01453706,31,6,19905.23065525808
