id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col
1,141.28057859,-35.07220094,1,FALSE,1,1.1,141.587104160798_-35.2491735587491,141.58710416079776,-35.24917355874913,141.67145021_-34.88335023,215021398,21398,Mildura Region,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,21569.5292,141.67145021,-34.88335023,12,14
1,141.58710416,-34.89522832,2,FALSE,1,1.1,141.587104160798_-35.2491735587491,141.58710416079776,-35.24917355874913,141.67145021_-34.88335023,215021398,21398,Mildura Region,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,21569.5292,141.67145021,-34.88335023,12,14
1,141.89362973,-35.07220094,3,FALSE,1,1.1,141.587104160798_-35.2491735587491,141.58710416079776,-35.24917355874913,141.67145021_-34.88335023,215021398,21398,Mildura Region,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,21569.5292,141.67145021,-34.88335023,12,14
1,141.89362973,-35.42614618,4,FALSE,1,1.1,141.587104160798_-35.2491735587491,141.58710416079776,-35.24917355874913,141.67145021_-34.88335023,215021398,21398,Mildura Region,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,21569.5292,141.67145021,-34.88335023,12,14
1,141.58710416,-35.6031188,5,FALSE,1,1.1,141.587104160798_-35.2491735587491,141.58710416079776,-35.24917355874913,141.67145021_-34.88335023,215021398,21398,Mildura Region,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,21569.5292,141.67145021,-34.88335023,12,14
1,141.28057859,-35.42614618,6,FALSE,1,1.1,141.587104160798_-35.2491735587491,141.58710416079776,-35.24917355874913,141.67145021_-34.88335023,215021398,21398,Mildura Region,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,21569.5292,141.67145021,-34.88335023,12,14
1,141.28057859,-35.07220094,7,FALSE,1,1.1,141.587104160798_-35.2491735587491,141.58710416079776,-35.24917355874913,141.67145021_-34.88335023,215021398,21398,Mildura Region,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,21569.5292,141.67145021,-34.88335023,12,14
10,142.2001553,-35.6031188,8,FALSE,1,10.1,142.506680862396_-35.7800914149574,142.50668086239605,-35.78009141495741,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,10
10,142.50668086,-35.42614618,9,FALSE,1,10.1,142.506680862396_-35.7800914149574,142.50668086239605,-35.78009141495741,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,10
10,142.81320643,-35.6031188,10,FALSE,1,10.1,142.506680862396_-35.7800914149574,142.50668086239605,-35.78009141495741,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,10
10,142.81320643,-35.95706403,11,FALSE,1,10.1,142.506680862396_-35.7800914149574,142.50668086239605,-35.78009141495741,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,10
10,142.50668086,-36.13403665,12,FALSE,1,10.1,142.506680862396_-35.7800914149574,142.50668086239605,-35.78009141495741,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,10
10,142.2001553,-35.95706403,13,FALSE,1,10.1,142.506680862396_-35.7800914149574,142.50668086239605,-35.78009141495741,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,10
10,142.2001553,-35.6031188,14,FALSE,1,10.1,142.506680862396_-35.7800914149574,142.50668086239605,-35.78009141495741,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,10
11,142.2001553,-36.66495451,15,FALSE,1,11.1,142.506680862396_-36.841927127374,142.50668086239605,-36.841927127373985,142.69571756_-37.02161767,215011392,21392,Stawell,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,2743.4311,142.69571756,-37.02161767,7,3
11,142.50668086,-36.48798189,16,FALSE,1,11.1,142.506680862396_-36.841927127374,142.50668086239605,-36.841927127373985,142.69571756_-37.02161767,215011392,21392,Stawell,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,2743.4311,142.69571756,-37.02161767,7,3
11,142.81320643,-36.66495451,17,FALSE,1,11.1,142.506680862396_-36.841927127374,142.50668086239605,-36.841927127373985,142.69571756_-37.02161767,215011392,21392,Stawell,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,2743.4311,142.69571756,-37.02161767,7,3
11,142.81320643,-37.01889975,18,FALSE,1,11.1,142.506680862396_-36.841927127374,142.50668086239605,-36.841927127373985,142.69571756_-37.02161767,215011392,21392,Stawell,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,2743.4311,142.69571756,-37.02161767,7,3
11,142.50668086,-37.19587236,19,FALSE,1,11.1,142.506680862396_-36.841927127374,142.50668086239605,-36.841927127373985,142.69571756_-37.02161767,215011392,21392,Stawell,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,2743.4311,142.69571756,-37.02161767,7,3
11,142.2001553,-37.01889975,20,FALSE,1,11.1,142.506680862396_-36.841927127374,142.50668086239605,-36.841927127373985,142.69571756_-37.02161767,215011392,21392,Stawell,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,2743.4311,142.69571756,-37.02161767,7,3
11,142.2001553,-36.66495451,21,FALSE,1,11.1,142.506680862396_-36.841927127374,142.50668086239605,-36.841927127373985,142.69571756_-37.02161767,215011392,21392,Stawell,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,2743.4311,142.69571756,-37.02161767,7,3
12,142.50668086,-35.07220094,22,FALSE,1,12.1,142.813206429595_-35.2491735587491,142.81320642959548,-35.24917355874913,142.226997_-34.33673531,215021399,21399,Red Cliffs,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,246.7202,142.226997,-34.33673531,13,16
12,142.81320643,-34.89522832,23,FALSE,1,12.1,142.813206429595_-35.2491735587491,142.81320642959548,-35.24917355874913,142.226997_-34.33673531,215021399,21399,Red Cliffs,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,246.7202,142.226997,-34.33673531,13,16
12,143.119732,-35.07220094,24,FALSE,1,12.1,142.813206429595_-35.2491735587491,142.81320642959548,-35.24917355874913,142.226997_-34.33673531,215021399,21399,Red Cliffs,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,246.7202,142.226997,-34.33673531,13,16
12,143.119732,-35.42614618,25,FALSE,1,12.1,142.813206429595_-35.2491735587491,142.81320642959548,-35.24917355874913,142.226997_-34.33673531,215021399,21399,Red Cliffs,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,246.7202,142.226997,-34.33673531,13,16
12,142.81320643,-35.6031188,26,FALSE,1,12.1,142.813206429595_-35.2491735587491,142.81320642959548,-35.24917355874913,142.226997_-34.33673531,215021399,21399,Red Cliffs,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,246.7202,142.226997,-34.33673531,13,16
12,142.50668086,-35.42614618,27,FALSE,1,12.1,142.813206429595_-35.2491735587491,142.81320642959548,-35.24917355874913,142.226997_-34.33673531,215021399,21399,Red Cliffs,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,246.7202,142.226997,-34.33673531,13,16
