id,long,lat,order,hole,piece,group,key_new,V1,V2,key_orig,SA2_MAIN16,SA2_5DIG16,SA2_NAME16,SA3_CODE16,SA3_NAME16,SA4_CODE16,SA4_NAME16,GCC_CODE16,GCC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,CENTROIX,CENTROIY,row,col,distance
1,141.27808024,-34.42540572,1,FALSE,1,1.1,141.578535992557_-34.5988739325688,141.5785359925568,-34.59887393256879,142.03621177_-34.18143477,215021396,21396,Merbein,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,101.8248,142.03621177,-34.18143477,11,19,62574.779352080746
1,141.57853599,-34.25193751,2,FALSE,1,1.1,141.578535992557_-34.5988739325688,141.5785359925568,-34.59887393256879,142.03621177_-34.18143477,215021396,21396,Merbein,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,101.8248,142.03621177,-34.18143477,11,19,62574.779352080746
1,141.87899175,-34.42540572,3,FALSE,1,1.1,141.578535992557_-34.5988739325688,141.5785359925568,-34.59887393256879,142.03621177_-34.18143477,215021396,21396,Merbein,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,101.8248,142.03621177,-34.18143477,11,19,62574.779352080746
1,141.87899175,-34.77234214,4,FALSE,1,1.1,141.578535992557_-34.5988739325688,141.5785359925568,-34.59887393256879,142.03621177_-34.18143477,215021396,21396,Merbein,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,101.8248,142.03621177,-34.18143477,11,19,62574.779352080746
1,141.57853599,-34.94581035,5,FALSE,1,1.1,141.578535992557_-34.5988739325688,141.5785359925568,-34.59887393256879,142.03621177_-34.18143477,215021396,21396,Merbein,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,101.8248,142.03621177,-34.18143477,11,19,62574.779352080746
1,141.27808024,-34.77234214,6,FALSE,1,1.1,141.578535992557_-34.5988739325688,141.5785359925568,-34.59887393256879,142.03621177_-34.18143477,215021396,21396,Merbein,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,101.8248,142.03621177,-34.18143477,11,19,62574.779352080746
1,141.27808024,-34.42540572,7,FALSE,1,1.1,141.578535992557_-34.5988739325688,141.5785359925568,-34.59887393256879,142.03621177_-34.18143477,215021396,21396,Merbein,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,101.8248,142.03621177,-34.18143477,11,19,62574.779352080746
10,142.1794475,-35.98661962,8,FALSE,1,10.1,142.479903254519_-36.1600878265674,142.47990325451948,-36.160087826567406,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,9,11568.612762882038
10,142.47990325,-35.81315141,9,FALSE,1,10.1,142.479903254519_-36.1600878265674,142.47990325451948,-36.160087826567406,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,9,11568.612762882038
10,142.78035901,-35.98661962,10,FALSE,1,10.1,142.479903254519_-36.1600878265674,142.47990325451948,-36.160087826567406,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,9,11568.612762882038
10,142.78035901,-36.33355604,11,FALSE,1,10.1,142.479903254519_-36.1600878265674,142.47990325451948,-36.160087826567406,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,9,11568.612762882038
10,142.47990325,-36.50702425,12,FALSE,1,10.1,142.479903254519_-36.1600878265674,142.47990325451948,-36.160087826567406,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,9,11568.612762882038
10,142.1794475,-36.33355604,13,FALSE,1,10.1,142.479903254519_-36.1600878265674,142.47990325451948,-36.160087826567406,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,9,11568.612762882038
10,142.1794475,-35.98661962,14,FALSE,1,10.1,142.479903254519_-36.1600878265674,142.47990325451948,-36.160087826567406,142.42305186_-35.9892411,215011394,21394,Yarriambiack,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,7139.5816,142.42305186,-35.9892411,9,9,11568.612762882038
11,142.1794475,-37.02742888,15,FALSE,1,11.1,142.479903254519_-37.2008970892332,142.47990325451948,-37.20089708923315,142.08909333_-36.82189819,215011389,21389,Horsham Region,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,4251.4674,142.08909333,-36.82189819,4,2,40100.24883809586
11,142.47990325,-36.85396067,16,FALSE,1,11.1,142.479903254519_-37.2008970892332,142.47990325451948,-37.20089708923315,142.08909333_-36.82189819,215011389,21389,Horsham Region,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,4251.4674,142.08909333,-36.82189819,4,2,40100.24883809586
11,142.78035901,-37.02742888,17,FALSE,1,11.1,142.479903254519_-37.2008970892332,142.47990325451948,-37.20089708923315,142.08909333_-36.82189819,215011389,21389,Horsham Region,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,4251.4674,142.08909333,-36.82189819,4,2,40100.24883809586
11,142.78035901,-37.3743653,18,FALSE,1,11.1,142.479903254519_-37.2008970892332,142.47990325451948,-37.20089708923315,142.08909333_-36.82189819,215011389,21389,Horsham Region,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,4251.4674,142.08909333,-36.82189819,4,2,40100.24883809586
11,142.47990325,-37.54783351,19,FALSE,1,11.1,142.479903254519_-37.2008970892332,142.47990325451948,-37.20089708923315,142.08909333_-36.82189819,215011389,21389,Horsham Region,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,4251.4674,142.08909333,-36.82189819,4,2,40100.24883809586
11,142.1794475,-37.3743653,20,FALSE,1,11.1,142.479903254519_-37.2008970892332,142.47990325451948,-37.20089708923315,142.08909333_-36.82189819,215011389,21389,Horsham Region,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,4251.4674,142.08909333,-36.82189819,4,2,40100.24883809586
11,142.1794475,-37.02742888,21,FALSE,1,11.1,142.479903254519_-37.2008970892332,142.47990325451948,-37.20089708923315,142.08909333_-36.82189819,215011389,21389,Horsham Region,21501,Grampians,215,North West,2RVIC,Rest of Vic.,2,Victoria,4251.4674,142.08909333,-36.82189819,4,2,40100.24883809586
12,142.47990325,-34.42540572,22,FALSE,1,12.1,142.780359008507_-34.5988739325688,142.78035900850705,-34.59887393256879,142.76693448_-34.65212857,215031403,21403,Robinvale,21503,Murray River - Swan Hill,215,North West,2RVIC,Rest of Vic.,2,Victoria,181.743,142.76693448,-34.65212857,19,21,84333.40058150954
