SA2_MAINCODE_2011,SA2_NAME_2011,SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
101011001,Goulburn,1014,Goulburn,64.6442605973
101011002,Goulburn Region,1000,Not in any Significant Urban Area (NSW),9035.1153863356
101011003,Yass,1000,Not in any Significant Urban Area (NSW),99.7338519055
101011004,Yass Region,1000,Not in any Significant Urban Area (NSW),5681.9651693377
101011005,Young,1000,Not in any Significant Urban Area (NSW),505.7537113116
101011006,Young Region,1000,Not in any Significant Urban Area (NSW),5849.4015822735
101021007,Braidwood,1000,Not in any Significant Urban Area (NSW),3418.4957883031
101021008,Karabar,8001,Canberra - Queanbeyan,6.9822899969
101021009,Queanbeyan,8001,Canberra - Queanbeyan,4.7636111167
101021010,Queanbeyan - East,8001,Canberra - Queanbeyan,13.0038813403
101021011,Queanbeyan Region,1000,Not in any Significant Urban Area (NSW),3054.1973595977
101021012,Queanbeyan West - Jerrabomberra,8001,Canberra - Queanbeyan,13.6784728756
101031013,Bombala,1000,Not in any Significant Urban Area (NSW),3989.1186541670
101031014,Cooma,1000,Not in any Significant Urban Area (NSW),103.6699573706
101031015,Cooma Region,1000,Not in any Significant Urban Area (NSW),6249.0129301357
101031016,Jindabyne - Berridale,1000,Not in any Significant Urban Area (NSW),3940.0285461231
101041017,Batemans Bay,1004,Batemans Bay,63.7399637467
101041018,Batemans Bay - South,1004,Batemans Bay,30.5946079571
101041019,Bega - Tathra,1000,Not in any Significant Urban Area (NSW),184.3636900731
101041020,Bega-Eden Hinterland,1000,Not in any Significant Urban Area (NSW),4709.4200061362
101041021,Broulee - Tomakin,1000,Not in any Significant Urban Area (NSW),24.2017976655
101041022,Deua - Wadbilliga,1000,Not in any Significant Urban Area (NSW),2782.4467778674
101041023,Eden,1000,Not in any Significant Urban Area (NSW),94.8141492548
101041024,Eurobodalla Hinterland,1000,Not in any Significant Urban Area (NSW),1459.9876131816
101041025,Merimbula - Tura Beach,1000,Not in any Significant Urban Area (NSW),97.2920392324
101041026,Moruya - Tuross Head,1000,Not in any Significant Urban Area (NSW),165.4353126422
101041027,Narooma - Bermagui,1000,Not in any Significant Urban Area (NSW),252.6437567628
102011028,Avoca Beach - Copacabana,1009,Central Coast,6.4369273789
102011029,Box Head - MacMasters Beach,1009,Central Coast,32.0864596745
102011030,Calga - Kulnura,1000,Not in any Significant Urban Area (NSW),767.8960863637
102011031,Erina - Green Point,1009,Central Coast,33.7840360983
102011032,Gosford - Springfield,1009,Central Coast,16.9142274429
102011033,Kariong,1009,Central Coast,8.3063957268
102011034,Kincumber - Picketts Valley,1009,Central Coast,12.0891308554
102011035,Narara,1009,Central Coast,7.7022173739
102011036,Niagara Park - Lisarow,1009,Central Coast,16.7363796035
102011037,Point Clare - Koolewong,1009,Central Coast,6.7876476175
102011038,Saratoga - Davistown,1009,Central Coast,4.7683878075
102011039,Terrigal - North Avoca,1009,Central Coast,10.1069882116
102011040,Umina - Booker Bay - Patonga,1009,Central Coast,25.1110698322
102011041,Wamberal - Forresters Beach,1009,Central Coast,13.7260777862
102011042,Woy Woy - Blackwall,1009,Central Coast,17.4230464482
102011043,Wyoming,1009,Central Coast,8.3724713299
102021044,Bateau Bay - Killarney Vale,1009,Central Coast,10.8542435174
102021045,Blue Haven - San Remo,1009,Central Coast,20.9803502428
102021046,Budgewoi - Buff Point - Halekulani,1009,Central Coast,9.3534258338
102021047,Chittaway Bay - Tumbi Umbi,1009,Central Coast,24.5719541848
102021048,Gorokan - Kanwal - Charmhaven,1009,Central Coast,11.2484505044
102021049,Jilliby - Yarramalong,1000,Not in any Significant Urban Area (NSW),346.7345182585
102021050,Lake Munmorah - Mannering Park,1009,Central Coast,35.4949278999
102021051,Ourimbah - Fountaindale,1009,Central Coast,114.1170863398
102021052,Summerland Point - Gwandalan,1009,Central Coast,9.1791973559
102021053,The Entrance,1009,Central Coast,13.8581642598
102021054,Toukley - Norah Head,1009,Central Coast,10.5221954161
102021055,Tuggerah - Kangy Angy,1009,Central Coast,27.7741163699
102021056,Warnervale - Wadalba,1009,Central Coast,42.8897958289
102021057,Wyong,1009,Central Coast,15.0335727069
103011058,Bathurst,1005,Bathurst,119.4395397345
103011059,Bathurst - East,1005,Bathurst,94.0541643387
103011060,Bathurst Region,1000,Not in any Significant Urban Area (NSW),3798.9961089735
103011061,Oberon,1000,Not in any Significant Urban Area (NSW),2972.1978723857
103021062,Condobolin,1000,Not in any Significant Urban Area (NSW),15859.9491834309
103021063,Cowra,1000,Not in any Significant Urban Area (NSW),242.1433594080
103021064,Cowra Region,1000,Not in any Significant Urban Area (NSW),3037.5000781916
103021065,Forbes,1000,Not in any Significant Urban Area (NSW),4598.1342761064
103021066,Grenfell,1000,Not in any Significant Urban Area (NSW),3294.3122767443
103021067,Parkes (NSW),1026,Parkes,234.6594431677
103021068,Parkes Region,1000,Not in any Significant Urban Area (NSW),5417.0784429356
103021069,West Wyalong,1000,Not in any Significant Urban Area (NSW),8317.6175664719
103031070,Lithgow,1019,Lithgow,119.9846688581
103031071,Lithgow Region,1000,Not in any Significant Urban Area (NSW),2513.7186102295
103031072,Mudgee,1000,Not in any Significant Urban Area (NSW),65.9195183871
103031073,Mudgee Region - East,1000,Not in any Significant Urban Area (NSW),2851.8218793745
103031074,Mudgee Region - West,1000,Not in any Significant Urban Area (NSW),8043.7594550110
103031075,Wollangambe - Wollemi,1000,Not in any Significant Urban Area (NSW),2448.3396230067
103041076,Blayney,1000,Not in any Significant Urban Area (NSW),1642.5386363057
103041077,Orange,1025,Orange,45.2394765088
103041078,Orange - North,1025,Orange,99.4156170673
103041079,Orange Region,1000,Not in any Significant Urban Area (NSW),4480.9903970463
