SA2_MAIN11,SA2_5DIG11,SA2_NAME11,SA3_CODE11,SA3_NAME11,SA4_CODE11,SA4_NAME11,GCC_CODE11,GCC_NAME11,STE_CODE11,STE_NAME11,ALBERS_SQM,id,long_c,lat_c,population,SUA_NAME_2011,name,pop,long,lat,SUA,hex_long,hex_lat,hex_id,distance
209041222,21222,South Morang,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,59738580.5055109,761,145.09282590622064,-37.60696203426125,39119,Melbourne,South Morang,39119,145.09282590622064,-37.60696203426125,Melbourne,145.1093830336,-37.63856216950001,60633,3799.682517131326
210051244,21244,Craigieburn - Mickleham,21005,Tullamarine - Broadmeadows,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,106071514.510988,783,144.9102913132274,-37.55764949202863,35331,Melbourne,Craigieburn - Mickleham,35331,144.9102913132274,-37.55764949202863,Melbourne,144.9343830336,-37.56856216950001,61329,2449.0045947661324
125011472,11472,Auburn,12501,Auburn,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,8260302.3546579,471,151.02570483857264,-33.85463820526198,35034,Sydney,Auburn,35034,151.02570483857264,-33.85463820526198,Sydney,151.0593830336,-33.85856216950002,98464,3146.8278450995117
213051364,21364,Point Cook,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,36948729.088926,903,144.75331827314614,-37.906498174238116,33362,Melbourne,Point Cook,33362,144.75331827314614,-37.906498174238116,Melbourne,144.7593830336,-37.918562169500014,57832,1441.3432570586183
119011353,11353,Bankstown,11901,Bankstown,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales,7159091.60253505,352,151.03175163382855,-33.92229201299419,32528,Sydney,Bankstown,32528,151.03175163382855,-33.92229201299419,Sydney,151.0243830336,-33.92856216950001,97764,973.6229223149237
118021351,11351,Maroubra,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,5923588.52932373,350,151.2441954249648,-33.943883487206705,31603,Sydney,Maroubra,31603,151.2441954249648,-33.943883487206705,Sydney,151.23438303359998,-33.92856216950001,97767,1926.4441993721034
125011474,11474,Lidcombe - Regents Park,12501,Auburn,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,10522312.2664823,473,151.03983383562704,-33.86921722669992,31596,Sydney,Lidcombe - Regents Park,31596,151.03983383562704,-33.86921722669992,Sydney,150.9893830336,-33.85856216950002,98463,4815.604401904065
209021206,21206,Preston,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,11312732.8417029,745,145.0078387421467,-37.741853986301344,31400,Melbourne,Preston,31400,145.0078387421467,-37.741853986301344,Melbourne,145.0043830336,-37.70856216950001,59932,3707.652316646731
215021397,21397,Mildura,21502,Mildura,215,North West,2RVIC,Rest of Vic.,2,Victoria,76151363.6388568,936,142.12570218352755,-34.20758553106027,31288,Mildura - Wentworth,Mildura,31288,142.12570218352755,-34.20758553106027,Mildura - Wentworth,142.1343830336,-34.20856216950001,94841,807.3224150102958
128011528,11528,Cronulla - Kurnell - Bundeena,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,28413882.4018553,527,151.18159367184236,-34.03179650754404,30900,Sydney,Cronulla - Kurnell - Bundeena,30900,151.18159367184236,-34.03179650754404,Sydney,151.1993830336,-33.99856216950002,97068,4036.0853395474946
213051367,21367,Werribee,21305,Wyndham,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,135421114.151286,906,144.55491158073266,-37.91767601748375,30834,Melbourne,Werribee,30834,144.55491158073266,-37.91767601748375,Melbourne,144.5493830336,-37.918562169500014,57829,495.97775789095346
121021405,11405,Hornsby - Waitara,12102,Hornsby,121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales,10977493.8605186,404,151.09831259406457,-33.70008732489727,30817,Sydney,Hornsby - Waitara,30817,151.09831259406457,-33.70008732489727,Sydney,151.1293830336,-33.71856216950002,99863,3534.7742705149462
211031264,21264,Croydon,21103,Maroondah,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,17747009.9508632,803,145.2842405836838,-37.79870934357302,30526,Melbourne,Croydon,30526,145.2842405836838,-37.79870934357302,Melbourne,145.2493830336,-37.77856216950001,59237,3798.4107947633393
127031525,11525,Liverpool - Warwick Farm,12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,10968274.0723341,524,150.92473807785865,-33.918916203760425,30396,Sydney,Liverpool - Warwick Farm,30396,150.92473807785865,-33.918916203760425,Sydney,150.9543830336,-33.92856216950001,97763,2942.6084708390235
127011507,11507,Green Valley - Cecil Hills,12701,Bringelly - Green Valley,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,12182771.656204,506,150.857662859073,-33.9027938157506,30158,Sydney,Green Valley - Cecil Hills,30158,150.857662859073,-33.9027938157506,Sydney,150.8843830336,-33.92856216950001,97762,3778.279494703513
212041315,21315,Noble Park,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,8561441.30998551,854,145.17670420852792,-37.969620256347184,29804,Melbourne,Noble Park,29804,145.17670420852792,-37.969620256347184,Melbourne,145.1443830336,-37.988562169500014,57138,3533.2900441664665
107041149,11149,Wollongong,10704,Wollongong,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,11188967.5550621,148,150.8868037516873,-34.42759816973546,29714,Wollongong,Wollongong,29714,150.8868037516873,-34.42759816973546,Wollongong,150.9193830336,-34.418562169500014,92870,3158.1303848627585
309091266,31266,Southport,30909,Southport,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,14262805.6457171,1240,153.4004870557072,-27.97394170008456,29641,Gold Coast - Tweed Heads,Southport,29641,153.4004870557072,-27.97394170008456,Gold Coast - Tweed Heads,153.3693830336,-27.978562169500016,157213,3102.673791861711
212031307,21307,Narre Warren South,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,13003176.7501403,846,145.30204357844912,-38.05453386207623,29640,Melbourne,Narre Warren South,29640,145.30204357844912,-38.05453386207623,Melbourne,145.3193830336,-38.058562169500014,56442,1586.1307327386291
118021352,11352,Randwick,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,5309068.63100319,351,151.24102816105497,-33.9154561747031,29631,Sydney,Randwick,29631,151.24102816105497,-33.9154561747031,Sydney,151.30438303359998,-33.92856216950001,97768,6036.065510668496
121041415,11415,Mosman,12104,North Sydney - Mosman,121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales,8650994.19024518,414,151.2444891774591,-33.829451169947006,29351,Sydney,Mosman,29351,151.2444891774591,-33.829451169947006,Sydney,151.26938303359998,-33.85856216950002,98467,3966.721316571838
